"g_id","id","g_name","address_count","total_pop","pop_60to74","percent_60to74","pop_75andUp","percent_75andUp","households_no_kids","percent_households_no_kids","percent_1floor","abs_1floor","percent_2floor","abs_2floor","percent_3to5floor","abs_3to5floor","percent_own_occ","abs_own_occ","percent_priv_one","abs_priv_one","percent_res_one_dwell","abs_res_one_dwell","income","price_sq_m"
"10101","STATISTIK_AUSTRIA_GEM_20240101.10101","Eisenstadt",3,16118,2951,18.31,1598,9.91,1724,41.24,41.39,1763,44.38,1890,13.74,585,15.59,1162,42.96,3209,67.64,2881,32774,"312.7"
"10201","STATISTIK_AUSTRIA_GEM_20240101.10201","Rust",1,1933,420,21.73,300,15.52,245,43.83,71.69,856,24.71,295,3.6,43,4.2,36,35.91,311,79.73,952,24956,"245.1"
"10301","STATISTIK_AUSTRIA_GEM_20240101.10301","Breitenbrunn am Neusiedler See",4,1943,463,23.83,323,16.62,293,52.42,66.16,741,31.52,353,2.32,26,9.46,90,41.13,392,80.54,902,30022,"326.8"
"10302","STATISTIK_AUSTRIA_GEM_20240101.10302","Donnerskirchen",1,1881,460,24.46,192,10.21,255,46.79,70.85,700,27.43,271,1.72,17,4.45,39,38.52,339,80.97,800,27442,"239.2"
"10303","STATISTIK_AUSTRIA_GEM_20240101.10303","Großhöflein",0,2078,461,22.18,178,8.57,293,46.07,54.01,492,42.48,387,3.51,32,3.44,32,31.98,299,79.8,727,30000,"278.2"
"10304","STATISTIK_AUSTRIA_GEM_20240101.10304","Hornstein",2,3323,696,20.94,369,11.1,460,47.82,73.32,1564,24.47,522,2.2,47,5.63,87,36.89,570,88.84,1895,29246,"203.4"
"10305","STATISTIK_AUSTRIA_GEM_20240101.10305","Klingenbach",0,1203,267,22.19,114,9.48,147,41.76,74.64,409,22.45,123,2.92,16,3.51,20,38.07,217,87.59,480,25814,"111.7"
"10306","STATISTIK_AUSTRIA_GEM_20240101.10306","Leithaprodersdorf",0,1258,234,18.6,111,8.82,128,34.78,62.65,322,34.05,175,3.31,17,1.97,9,21.66,99,85.8,441,26120,"172.9"
"10307","STATISTIK_AUSTRIA_GEM_20240101.10307","Mörbisch am See",1,2181,542,24.85,294,13.48,303,44.62,54.41,641,41.26,486,4.33,51,2.21,22,32.63,327,65.7,774,22710,"154.4"
"10308","STATISTIK_AUSTRIA_GEM_20240101.10308","Müllendorf",0,1521,287,18.87,137,9.01,199,43.54,67.86,454,28.85,193,3.29,22,3.38,21,27.29,170,88.64,593,29970,"213.3"
"10309","STATISTIK_AUSTRIA_GEM_20240101.10309","Neufeld an der Leitha",4,3594,643,17.89,407,11.32,449,44.11,63.29,905,30.14,431,6.29,90,17.08,283,37.92,631,82.52,1180,28897,"295.1"
"10310","STATISTIK_AUSTRIA_GEM_20240101.10310","Oggau am Neusiedler See",2,1691,415,24.54,212,12.54,231,45.56,65.35,545,31.77,265,2.88,24,2.25,18,36.35,293,77.94,650,24984,"345.4"
"10311","STATISTIK_AUSTRIA_GEM_20240101.10311","Oslip",0,1304,327,25.08,138,10.58,187,46.75,77.22,505,20.18,132,2.6,17,3.23,19,32.94,194,87.16,570,25512,"135.1"
"10312","STATISTIK_AUSTRIA_GEM_20240101.10312","Purbach am Neusiedler See",1,3053,696,22.8,339,11.1,437,47.97,61.05,898,35.76,526,3.2,47,2.76,38,33.43,463,76.55,1126,26898,"220.7"
"10313","STATISTIK_AUSTRIA_GEM_20240101.10313","Sankt Margarethen im Burgenland",4,2720,612,22.5,350,12.87,366,44.74,68.65,983,28.49,408,2.86,41,1.91,23,32.56,394,81.22,1163,24527,"109.6"
"10314","STATISTIK_AUSTRIA_GEM_20240101.10314","Schützen am Gebirge",1,1448,315,21.75,166,11.46,185,41.39,64.96,443,32.84,224,2.2,15,3.83,23,26.41,159,82.4,562,27082,"119.3"
"10315","STATISTIK_AUSTRIA_GEM_20240101.10315","Siegendorf",0,3228,623,19.3,385,11.93,413,42.19,66.64,895,30.98,416,2.38,32,4.84,68,30.75,433,81.53,1095,28054,"119.8"
"10316","STATISTIK_AUSTRIA_GEM_20240101.10316","Steinbrunn",0,2996,512,17.09,318,10.61,358,40.82,75.79,1456,19.26,370,4.95,95,4.84,62,32.22,415,93.96,1805,28796,"174.9"
"10317","STATISTIK_AUSTRIA_GEM_20240101.10317","Trausdorf an der Wulka",2,2143,474,22.12,271,12.65,292,46.2,81.06,1130,16.43,229,2.51,35,4.59,47,36.65,376,90.03,1255,29742,"138"
"10318","STATISTIK_AUSTRIA_GEM_20240101.10318","Wimpassing an der Leitha",1,1724,286,16.59,137,7.95,226,44.58,61.76,449,34.39,250,3.85,28,7.25,53,32.21,238,84.73,616,29367,"209.7"
