g_id,address_count,total_pop,percent_60to74,percent_75andUp,percent_households_no_kids,percent_1floor,percent_2floor,percent_3to5floor,percent_own_occ,percent_priv_one,percent_res_one_dwell,income,price_sq_m
10101,3,16118,18.31,9.91,41.24,41.39,44.38,13.74,15.59,42.96,67.64,32774,312.70
10201,1,1933,21.73,15.52,43.83,71.69,24.71,3.6,4.2,35.91,79.73,24956,245.10
10301,4,1943,23.83,16.62,52.42,66.16,31.52,2.32,9.46,41.13,80.54,30022,326.80
10302,1,1881,24.46,10.21,46.79,70.85,27.43,1.72,4.45,38.52,80.97,27442,239.20
10303,0,2078,22.18,8.57,46.07,54.01,42.48,3.51,3.44,31.98,79.8,30000,278.20
10304,2,3323,20.94,11.1,47.82,73.32,24.47,2.2,5.63,36.89,88.84,29246,203.40
10305,0,1203,22.19,9.48,41.76,74.64,22.45,2.92,3.51,38.07,87.59,25814,111.70
10306,0,1258,18.6,8.82,34.78,62.65,34.05,3.31,1.97,21.66,85.8,26120,172.90
10307,1,2181,24.85,13.48,44.62,54.41,41.26,4.33,2.21,32.63,65.7,22710,154.40
10308,0,1521,18.87,9.01,43.54,67.86,28.85,3.29,3.38,27.29,88.64,29970,213.30
10309,4,3594,17.89,11.32,44.11,63.29,30.14,6.29,17.08,37.92,82.52,28897,295.10
10310,2,1691,24.54,12.54,45.56,65.35,31.77,2.88,2.25,36.35,77.94,24984,345.40
10311,0,1304,25.08,10.58,46.75,77.22,20.18,2.6,3.23,32.94,87.16,25512,135.10
10312,1,3053,22.8,11.1,47.97,61.05,35.76,3.2,2.76,33.43,76.55,26898,220.70
10313,4,2720,22.5,12.87,44.74,68.65,28.49,2.86,1.91,32.56,81.22,24527,109.60
10314,1,1448,21.75,11.46,41.39,64.96,32.84,2.2,3.83,26.41,82.4,27082,119.30
10315,0,3228,19.3,11.93,42.19,66.64,30.98,2.38,4.84,30.75,81.53,28054,119.80
10316,0,2996,17.09,10.61,40.82,75.79,19.26,4.95,4.84,32.22,93.96,28796,174.90
10317,2,2143,22.12,12.65,46.2,81.06,16.43,2.51,4.59,36.65,90.03,29742,138.00
10318,1,1724,16.59,7.95,44.58,61.76,34.39,3.85,7.25,32.21,84.73,29367,209.70
10319,0,1938,20.74,10.68,39.39,71.58,25.8,2.63,5.5,26.38,84.02,29179,158.60
10320,0,520,22.88,11.54,51.01,75.44,22.51,2.05,4.02,39.36,88.01,32049,135.10
10321,2,821,19.37,10.23,38.17,66.95,30.25,2.8,1.7,32.67,85.43,23527,135.10
10322,4,1045,23.16,7.46,47.73,80.37,16.64,2.99,2.77,35.32,87.29,27405,112.80
10323,1,1142,21.54,11.82,43.02,68.28,28.15,3.57,3.06,28.72,85.29,25462,111.70
10401,0,790,22.03,13.16,42.98,78.11,21.14,0.75,0.81,34.68,82.09,24133,18.40
10402,0,1434,21.62,9.34,45.37,64.17,34.33,1.5,2.05,31.06,74.33,22731,22.40
10403,1,910,28.68,15.71,51.48,79.63,19.19,1.18,1.96,34.95,86.53,24075,15.20
