"id","name","percent_1floor","abs_1floor","percent_2floor","abs_2floor","percent_3to5floor","abs_3to5floor","percent_own_occ","abs_own_occ","percent_priv_one","abs_priv_one","percent_res_one_dwell","abs_res_one_dwell"
"10101","Eisenstadt",41.39,1763,44.38,1890,13.74,585,15.59,1162,42.96,3209,67.64,2881
"10201","Rust",71.69,856,24.71,295,3.6,43,4.2,36,35.91,311,79.73,952
"10301","Breitenbrunn am Neusiedler See",66.16,741,31.52,353,2.32,26,9.46,90,41.13,392,80.54,902
"10302","Donnerskirchen",70.85,700,27.43,271,1.72,17,4.45,39,38.52,339,80.97,800
"10303","Großhöflein",54.01,492,42.48,387,3.51,32,3.44,32,31.98,299,79.8,727
"10304","Hornstein",73.32,1564,24.47,522,2.2,47,5.63,87,36.89,570,88.84,1895
"10305","Klingenbach",74.64,409,22.45,123,2.92,16,3.51,20,38.07,217,87.59,480
"10306","Leithaprodersdorf",62.65,322,34.05,175,3.31,17,1.97,9,21.66,99,85.8,441
"10307","Mörbisch am See",54.41,641,41.26,486,4.33,51,2.21,22,32.63,327,65.7,774
"10308","Müllendorf",67.86,454,28.85,193,3.29,22,3.38,21,27.29,170,88.64,593
"10309","Neufeld an der Leitha",63.29,905,30.14,431,6.29,90,17.08,283,37.92,631,82.52,1180
"10310","Oggau am Neusiedler See",65.35,545,31.77,265,2.88,24,2.25,18,36.35,293,77.94,650
"10311","Oslip",77.22,505,20.18,132,2.6,17,3.23,19,32.94,194,87.16,570
"10312","Purbach am Neusiedler See",61.05,898,35.76,526,3.2,47,2.76,38,33.43,463,76.55,1126
"10313","Sankt Margarethen im Burgenland",68.65,983,28.49,408,2.86,41,1.91,23,32.56,394,81.22,1163
"10314","Schützen am Gebirge",64.96,443,32.84,224,2.2,15,3.83,23,26.41,159,82.4,562
"10315","Siegendorf",66.64,895,30.98,416,2.38,32,4.84,68,30.75,433,81.53,1095
"10316","Steinbrunn",75.79,1456,19.26,370,4.95,95,4.84,62,32.22,415,93.96,1805
"10317","Trausdorf an der Wulka",81.06,1130,16.43,229,2.51,35,4.59,47,36.65,376,90.03,1255
"10318","Wimpassing an der Leitha",61.76,449,34.39,250,3.85,28,7.25,53,32.21,238,84.73,616
"10319","Wulkaprodersdorf",71.58,627,25.8,226,2.63,23,5.5,44,26.38,211,84.02,736
"10320","Loretto",75.44,258,22.51,77,2.05,7,4.02,10,39.36,98,88.01,301
"10321","Stotzing",66.95,239,30.25,108,2.8,10,1.7,6,32.67,115,85.43,305
"10322","Zillingtal",80.37,430,16.64,89,2.99,16,2.77,13,35.32,166,87.29,467
"10323","Zagersdorf",68.28,325,28.15,134,3.57,17,3.06,15,28.72,141,85.29,406
"10401","Bocksdorf",78.11,314,21.14,85,0.75,3,0.81,3,34.68,129,82.09,330
"10402","Burgauberg-Neudauberg",64.17,385,34.33,206,1.5,9,2.05,12,31.06,182,74.33,446
"10403","Eberau",79.63,473,19.19,114,1.18,7,1.96,8,34.95,144,86.53,514
"10404","Gerersdorf-Sulz",76.95,404,20.76,109,2.29,12,0.67,3,30.36,136,88.76,466
"10405","Güssing",71.74,1056,20.58,303,7,103,9.38,155,39.04,648,75,1104
"10406","Güttenbach",84.98,362,14.08,60,0.94,4,0.84,3,29.25,105,89.67,382
"10407","Heiligenbrunn",82.27,348,14.66,62,3.07,13,0.61,2,31.1,102,84.63,358
"10408","Kukmirn",75.91,687,22.54,204,1.55,14,2.51,21,30.67,257,83.98,760
"10409","Neuberg im Burgenland",83.47,404,15.7,76,0.83,4,0.47,2,34.73,149,86.98,421
"10410","Neustift bei Güssing",85.66,227,13.58,36,0.75,2,3.72,8,40.74,88,88.3,234
"10411","Olbendorf",80.81,619,17.75,136,1.44,11,0.94,6,33.07,212,89.82,688
"10412","Ollersdorf im Burgenland",76.72,369,22.45,108,0.83,4,1.14,5,35.52,157,82.74,398
"10413","Sankt Michael im Burgenland",74.24,389,23.85,125,1.91,10,2.94,14,36.48,174,81.68,428
"10414","Stegersbach",65.22,827,29.5,374,5.28,67,4.47,57,40.41,516,75.32,955
"10415","Stinatz",75.88,453,23.12,138,1.01,6,0.21,1,28.18,135,90.45,540
"10416","Strem",66.17,403,32.68,199,1.15,7,0.73,3,37.47,154,88.34,538
"10417","Tobaj",73.54,492,24.81,166,1.64,11,1.54,9,28.94,169,82.81,554
"10418","Hackerberg",78.72,148,20.21,38,1.06,2,0,0,28.31,47,90.43,170
"10419","Wörterberg",80,188,17.87,42,2.13,5,0,0,29.17,56,91.49,215
"10420","Großmürbisch",89.73,131,8.22,12,2.05,3,1.77,2,40.87,47,93.15,136
"10421","Inzenhof",88.08,170,10.36,20,1.55,3,2.72,4,36.05,53,87.05,168
"10422","Kleinmürbisch",76.03,92,21.49,26,2.48,3,0,0,32.38,34,91.74,111
"10423","Tschanigraben",88,44,12,6,0,0,0,0,50,18,96,48
"10424","Heugraben",81.54,106,17.69,23,0.77,1,3.03,3,33.33,33,91.54,119
"10425","Rohr im Burgenland",78.37,163,20.19,42,1.44,3,0,0,33.33,56,87.02,181
"10426","Bildein",88.89,160,10,18,1.11,2,0,0,32.62,46,93.89,169
"10427","Rauchwart",73.17,210,25.78,74,1.05,3,0.91,2,37.44,82,88.15,253
"10428","Moschendorf",78.5,157,20,40,1.5,3,0.65,1,25.49,39,89.5,179
"10501","Deutsch Kaltenbrunn",72.56,558,24.97,192,2.47,19,3.8,28,30.62,226,79.19,609
"10502","Eltendorf",78.68,358,20.44,93,0.88,4,2.52,10,32.16,128,82.2,374
"10503","Heiligenkreuz im Lafnitztal",76.32,490,19.16,123,4.52,29,2.61,15,33.04,191,78.19,502
"10504","Jennersdorf",68.72,1204,26.43,463,4.79,84,6.17,118,37.08,716,73.8,1293
"10505","Minihof-Liebau",77.96,375,20.79,100,1.25,6,3.21,14,27.85,122,79.42,382
"10506","Mogersdorf",75.04,418,21.18,118,3.77,21,0.38,2,33.58,179,83.84,467
"10507","Neuhaus am Klausenbach",77.05,339,19.32,85,3.64,16,0,0,35.16,135,85.23,375
"10508","Rudersdorf",63.24,559,33.03,292,3.73,33,6.68,68,32.78,334,74.43,658
"10509","Sankt Martin an der Raab",76.62,744,18.95,184,4.43,43,2.41,21,29.78,260,84.04,816
"10510","Weichselbaum",79.25,317,18.75,75,2,8,0,0,34.23,114,81.75,327
"10511","Königsdorf",67.45,230,30.5,104,2.05,7,3.27,11,29.76,100,77.42,264
"10512","Mühlgraben",74.73,136,20.88,38,4.4,8,0.58,1,33.14,57,85.71,156
