"id","name","total_pop","pop_60to74","percent_60to74","pop_75andUp","percent_75andUp","households_no_kids","percent_households_no_kids"
"10101","Eisenstadt",16118,2951,18.31,1598,9.91,1724,41.24
"10201","Rust",1933,420,21.73,300,15.52,245,43.83
"10301","Breitenbrunn am Neusiedler See",1943,463,23.83,323,16.62,293,52.42
"10302","Donnerskirchen",1881,460,24.46,192,10.21,255,46.79
"10303","Großhöflein",2078,461,22.18,178,8.57,293,46.07
"10304","Hornstein",3323,696,20.94,369,11.1,460,47.82
"10305","Klingenbach",1203,267,22.19,114,9.48,147,41.76
"10306","Leithaprodersdorf",1258,234,18.6,111,8.82,128,34.78
"10307","Mörbisch am See",2181,542,24.85,294,13.48,303,44.62
"10308","Müllendorf",1521,287,18.87,137,9.01,199,43.54
"10309","Neufeld an der Leitha",3594,643,17.89,407,11.32,449,44.11
"10310","Oggau am Neusiedler See",1691,415,24.54,212,12.54,231,45.56
"10311","Oslip",1304,327,25.08,138,10.58,187,46.75
"10312","Purbach am Neusiedler See",3053,696,22.8,339,11.1,437,47.97
"10313","Sankt Margarethen im Burgenland",2720,612,22.5,350,12.87,366,44.74
"10314","Schützen am Gebirge",1448,315,21.75,166,11.46,185,41.39
"10315","Siegendorf",3228,623,19.3,385,11.93,413,42.19
"10316","Steinbrunn",2996,512,17.09,318,10.61,358,40.82
"10317","Trausdorf an der Wulka",2143,474,22.12,271,12.65,292,46.2
"10318","Wimpassing an der Leitha",1724,286,16.59,137,7.95,226,44.58
"10319","Wulkaprodersdorf",1938,402,20.74,207,10.68,232,39.39
"10320","Loretto",520,119,22.88,60,11.54,76,51.01
"10321","Stotzing",821,159,19.37,84,10.23,92,38.17
"10322","Zillingtal",1045,242,23.16,78,7.46,147,47.73
"10323","Zagersdorf",1142,246,21.54,135,11.82,148,43.02
"10401","Bocksdorf",790,174,22.03,104,13.16,104,42.98
"10402","Burgauberg-Neudauberg",1434,310,21.62,134,9.34,186,45.37
"10403","Eberau",910,261,28.68,143,15.71,139,51.48
"10404","Gerersdorf-Sulz",1028,273,26.56,140,13.62,142,45.22
"10405","Güssing",3520,815,23.15,549,15.6,448,44.49
"10406","Güttenbach",843,231,27.4,127,15.07,103,40.39
"10407","Heiligenbrunn",710,210,29.58,104,14.65,116,50.88
"10408","Kukmirn",1985,498,25.09,258,13,267,44.5
"10409","Neuberg im Burgenland",943,246,26.09,100,10.6,110,39.15
"10410","Neustift bei Güssing",444,139,31.31,73,16.44,73,55.3
"10411","Olbendorf",1470,402,27.35,173,11.77,185,42.24
"10412","Ollersdorf im Burgenland",955,244,25.55,108,11.31,128,43.99
"10413","Sankt Michael im Burgenland",1007,249,24.73,135,13.41,135,43.69
"10414","Stegersbach",2741,582,21.23,319,11.64,324,42.8
"10415","Stinatz",1193,308,25.82,114,9.56,137,39.03
"10416","Strem",934,227,24.3,198,21.2,135,52.53
"10417","Tobaj",1369,347,25.35,113,8.25,181,43.61
"10418","Hackerberg",383,86,22.45,32,8.36,47,40.87
"10419","Wörterberg",538,121,22.49,47,8.74,63,44.37
"10420","Großmürbisch",232,83,35.78,30,12.93,35,53.03
"10421","Inzenhof",336,89,26.49,35,10.42,41,42.27
"10422","Kleinmürbisch",227,59,25.99,29,12.78,30,42.25
"10423","Tschanigraben",64,24,37.5,7,10.94,10,52.63
"10424","Heugraben",233,62,26.61,32,13.73,31,46.27
"10425","Rohr im Burgenland",369,101,27.37,43,11.65,56,49.56
"10426","Bildein",352,83,23.58,46,13.07,34,34.69
"10427","Rauchwart",478,133,27.82,45,9.41,58,42.03
"10428","Moschendorf",364,106,29.12,55,15.11,57,47.5
"10501","Deutsch Kaltenbrunn",1730,426,24.62,187,10.81,229,43.79
"10502","Eltendorf",900,245,27.22,124,13.78,120,43.17
"10503","Heiligenkreuz im Lafnitztal",1242,301,24.24,167,13.45,187,48.45
"10504","Jennersdorf",4159,1030,24.77,484,11.64,580,47.5
"10505","Minihof-Liebau",1041,260,24.98,108,10.37,142,43.29
"10506","Mogersdorf",1153,261,22.64,124,10.75,146,41.48
"10507","Neuhaus am Klausenbach",879,222,25.26,123,13.99,109,42.08
"10508","Rudersdorf",2241,499,22.27,252,11.24,315,46.32
"10509","Sankt Martin an der Raab",1941,483,24.88,244,12.57,291,47.63
"10510","Weichselbaum",712,207,29.07,85,11.94,109,49.77
"10511","Königsdorf",784,177,22.58,100,12.76,112,47.26
"10512","Mühlgraben",375,118,31.47,29,7.73,41,37.27
"10601","Draßburg",1233,259,21.01,165,13.38,155,45.06
"10602","Forchtenstein",2800,635,22.68,305,10.89,400,46.62
"10603","Hirm",1103,214,19.4,90,8.16,144,44.04
"10604","Loipersbach im Burgenland",1214,249,20.51,138,11.37,145,40.28
"10605","Marz",2074,475,22.9,189,9.11,280,43.14
"10606","Mattersburg",7554,1434,18.98,731,9.68,920,42.42
"10607","Neudörfl",5015,911,18.17,504,10.05,647,46.41
"10608","Pöttelsdorf",754,146,19.36,84,11.14,107,45.92
"10609","Pöttsching",3068,689,22.46,331,10.79,429,47.67
"10610","Rohrbach bei Mattersburg",2684,575,21.42,289,10.77,349,42.87
"10611","Bad Sauerbrunn",2355,460,19.53,277,11.76,269,41.32
"10612","Schattendorf",2360,517,21.91,236,10,311,43.8
