"id","name","percent_1floor","abs_1floor","percent_2floor","abs_2floor","percent_3to5floor","abs_3to5floor","percent_own_occ","abs_own_occ","percent_priv_one","abs_priv_one","percent_res_one_dwell","abs_res_one_dwell"
"101","Eisenstadt(Stadt)",41.39,1763,44.38,1890,13.74,585,15.59,1162,42.96,3209,67.64,2881
"102","Rust(Stadt)",71.69,856,24.71,295,3.6,43,4.2,36,35.91,311,79.73,952
"103","Eisenstadt-Umgebung",68.39,15411,28.38,6395,3.22,725,5.22,1042,33.63,6740,83.64,18849
"104","Güssing",75.54,9781,21.95,2842,2.43,315,2.83,324,34.5,3968,83.91,10865
"105","Jennersdorf",72.75,5728,23.71,1867,3.53,278,3.74,288,33.13,2562,79.03,6223
"106","Mattersburg",64.09,11228,32.02,5610,3.85,674,5.81,1048,33.29,6020,80.38,14082
"107","Neusiedl am See",62.92,17101,32.77,8907,4.28,1163,5.45,1462,33.06,8912,78.67,21383
"108","Oberpullendorf",68.43,13180,28.68,5524,2.87,552,1.99,328,33.74,5583,81.82,15760
"109","Oberwart",71,17518,25.1,6193,3.81,940,3.3,789,33.88,8116,80.65,19899
"201","Klagenfurt Stadt",24.67,5336,49.08,10617,24.77,5359,20.3,10898,48.37,26020,53.06,11478
"202","Villach Stadt",23.61,3111,50.63,6671,24.2,3189,15.03,4952,46.44,15346,48.73,6421
"203","Hermagor",29.99,2335,56.93,4432,12.99,1011,3.61,269,34.39,2582,57.75,4496
"204","Klagenfurt Land",45.43,11098,47.04,11491,7.46,1823,6.79,1830,34.71,9400,72.79,17781
"205","Sankt Veit an der Glan",39.71,7432,49.94,9348,10.15,1899,6.08,1482,38.82,9501,65.62,12282
"206","Spittal an der Drau",25.82,7295,58.94,16650,15,4237,7.63,2563,37.46,12644,59.89,16920
"207","Villach Land",35.2,9146,53.89,14002,10.82,2812,5.53,1596,35.22,10214,65.23,16947
"208","Völkermarkt",47.39,8066,45.29,7708,7.3,1242,3.41,615,35.68,6473,68.67,11688
"209","Wolfsberg",40.04,7222,51.39,9270,8.39,1513,5.59,1245,35.49,7929,66.34,11966
"210","Feldkirchen",39.31,4707,49.65,5945,10.9,1305,5.87,768,37.92,4990,65.87,7887
"301","Krems an der Donau(Stadt)",33.71,2103,40.54,2529,23.79,1484,21.01,2572,45.97,5632,54.18,3380
"302","Sankt Pölten(Stadt)",43.58,5901,40.09,5429,14.95,2024,13.92,3776,41.78,11353,62.25,8430
"303","Waidhofen an der Ybbs(Stadt)",31.12,1027,49.7,1640,18.94,625,17.03,807,38.12,1809,51.85,1711
"304","Wiener Neustadt(Stadt)",29.34,3048,47.31,4914,22.1,2296,14.86,3270,41.2,9079,61.14,6351
"305","Amstetten",31.24,11070,60,21259,8.6,3048,9.35,4464,31.65,15134,58.11,20590
"306","Baden",51.33,24759,38.57,18605,9.81,4730,17.17,11612,37.37,25337,72.66,35047
"307","Bruck an der Leitha",58.22,21944,33.05,12457,8.42,3173,13.44,6472,35.5,17141,77.35,29155
"308","Gänserndorf",68.84,33127,27.22,13096,3.86,1856,10.36,4844,32.95,15450,85.47,41126
"309","Gmünd",56.92,10134,38.05,6774,5,890,4.57,749,38.06,6257,68.17,12137
"310","Hollabrunn",67.68,18116,29.04,7774,3.24,868,4.31,1000,35.3,8214,82.59,22105
"311","Horn",64.22,9556,31.32,4660,4.39,653,8.91,1235,37.18,5165,75.44,11226
"312","Korneuburg",57.26,21139,35.34,13049,7.15,2640,15.95,6680,35.32,14838,80.97,29895
"313","Krems(Land)",53.79,13602,40.73,10301,5.46,1380,8.41,2053,33.02,8077,72.16,18249
"314","Lilienfeld",50.06,5089,42.13,4283,7.7,783,8.79,991,38.46,4366,67.43,6855
"315","Melk",45.38,12710,48.39,13552,6.15,1722,6.79,2207,32.02,10434,66.86,18724
"316","Mistelbach",69.45,27184,27.4,10726,3.1,1212,6.61,2281,35.03,12127,86.22,33746
"317","Mödling",40.56,14721,43.52,15797,15.4,5591,28.86,16273,38.92,22000,72.38,26271
"318","Neunkirchen",50.67,18048,41.34,14727,7.85,2797,7.26,2880,38.44,15292,70.38,25068
"319","Sankt Pölten(Land)",51.17,25633,41.86,20968,6.89,3451,11.54,6623,33.41,19219,74.34,37238
"320","Scheibbs",36.15,5115,55.54,7858,8.21,1162,7.58,1268,32.35,5429,61.86,8753
"321","Tulln",53.72,24243,37.45,16899,8.72,3934,14.02,6791,35.18,17075,80.23,36204
"322","Waidhofen an der Thaya",67.23,8958,29.34,3909,3.41,454,6.85,787,37.11,4275,74.78,9964
"323","Wiener Neustadt(Land)",59.02,19589,35.44,11763,5.49,1821,7.45,2624,34.06,12033,76.04,25238
"325","Zwettl",57.37,10652,38.54,7157,4.07,756,3.36,575,31.89,5468,64.94,12058
"401","Stadt Linz",15.17,3637,35.24,8447,41.89,10040,14.07,14913,48.84,52246,32.51,7791
"402","Stadt Steyr",9.29,668,55.51,3992,33.72,2425,10.66,2058,47.5,9188,44.2,3179
"403","Stadt Wels",17.23,1942,55.55,6260,24.74,2788,17.3,5081,40.74,11996,50.17,5654
"404","Braunau",25.32,9564,64.47,24355,10.08,3806,8.98,4149,32.07,14851,67.36,25447
"405","Eferding",29.85,3301,61.65,6818,8.45,934,8.67,1218,31.07,4374,64.92,7180
"406","Freistadt",31.79,6993,58.69,12910,9.31,2049,4.64,1264,29.53,8072,61.82,13599
"407","Gmunden",28.17,9596,54.46,18553,16.96,5779,14.49,6723,37.21,17330,57.21,19489
"408","Grieskirchen",28.95,6451,62.27,13873,8.61,1919,8.08,2166,30.65,8246,65.45,14582
"409","Kirchdorf",36.32,7134,53.71,10550,9.92,1948,8.68,2106,33.79,8225,60.89,11960
"410","Linz-Land",32.91,12999,54.16,21391,12.49,4934,16.54,11197,34.18,23169,62.04,24505
"411","Perg",32.36,6868,58.38,12390,9.19,1951,8.74,2477,29.99,8514,62.43,13250
"412","Ried",26.49,5658,63.7,13605,9.66,2063,10.1,2709,33.22,8931,64.65,13808
"413","Rohrbach",31.05,6271,58.99,11913,9.92,2004,4.42,1033,30.69,7205,59.32,11979
"414","Schärding",30.31,6132,60.14,12167,9.48,1917,5.96,1411,31.4,7453,64.56,13062
"415","Steyr-Land",35.76,7344,54.51,11194,9.68,1988,10.39,2666,31.3,8052,64.48,13241
"416","Urfahr-Umgebung",34.59,9840,55.59,15814,9.77,2780,13.57,5052,31.56,11766,66.64,18958
"417","Vöcklabruck",25.87,12026,61.32,28504,12.62,5867,11.73,7058,34.03,20525,61.66,28661
"418","Wels-Land",34.55,8549,57.78,14296,7.57,1874,9.14,2884,29.81,9423,67.8,16775
"501","Salzburg(Stadt)",11.99,2631,43.75,9599,39.66,8701,20.02,15385,47.11,36263,38.97,8551
"502","Hallein",15.74,2531,61.16,9837,22.68,3648,14.14,3638,33.64,8679,55.53,8931
"503","Salzburg-Umgebung",20.47,9343,59.71,27259,19.74,9010,17.48,11569,32.75,21752,59.92,27353
"504","St. Johann im Pongau",14.74,3320,56.8,12791,27.88,6278,15.44,5343,34.23,11938,43.84,9874
"505","Tamsweg",30.26,2206,53.46,3897,16.12,1175,9.03,738,32.17,2640,63.29,4613
"506","Zell am See",17.21,4872,58.51,16566,24.02,6801,14.04,5287,33.92,12916,50.44,14281
"601","Graz(Stadt)",24.95,10742,42.73,18393,27.08,11657,23.44,35419,47.98,72761,47.15,20298
"603","Deutschlandsberg",59.07,14596,35.19,8695,5.68,1404,7.88,2062,33.53,8796,76.58,18923
"606","Graz-Umgebung",50.77,27690,41.54,22653,7.59,4141,17.03,11691,31.12,21407,75.26,41044
"610","Leibnitz",57.5,18893,36.72,12066,5.74,1885,9.73,3614,32.57,12145,75.48,24801
"611","Leoben",34.27,5719,48,8010,16.71,2788,11.96,3555,44.11,13135,56.74,9469
"612","Liezen",35.67,11033,50.87,15733,13.23,4091,14.71,5280,38.46,13883,65.01,20105
"614","Murau",39.45,4695,51.08,6078,9.39,1118,7.97,896,33.32,3765,68.27,8124
"616","Voitsberg",52.37,10252,39.93,7817,7.62,1492,9.94,2280,35.92,8256,72.72,14234
"617","Weiz",49.05,15343,44.07,13787,6.77,2119,10.07,3778,30.94,11630,70.52,22060
"620","Murtal",41.19,9349,46.33,10515,11.96,2715,10.74,3542,38.85,12843,67.42,15302
"621","Bruck-Mürzzuschlag",39.72,12664,46.17,14720,13.68,4363,13.23,6186,40.08,18770,63.14,20131
"622","Hartberg-Fürstenfeld",55.04,18573,39.27,13252,5.63,1901,5.7,2090,30.79,11323,69.87,23576
"623","Südoststeiermark",61.67,20094,33.63,10957,4.64,1513,6.28,2146,30.45,10448,75.93,24739
"701","Innsbruck-Stadt",11.99,1619,27.28,3684,48.37,6533,24.09,15734,48.44,31724,22.61,3054
"702","Imst",21.48,4082,58.05,11031,20.19,3836,21.26,5387,30.88,7879,52.57,9989
"703","Innsbruck-Land",18.8,8601,55.76,25510,24.93,11404,30.51,24359,34.09,27376,50.15,22942
"704","Kitzbühel",16.79,4025,58.46,14013,24.56,5888,22.52,6731,39.24,11800,48.66,11663
"705","Kufstein",18.08,5324,57.58,16954,23.87,7029,24.5,12161,35.56,17716,50.03,14730
"706","Landeck",14.69,2030,52.11,7203,32.21,4452,18.75,3398,30.09,5525,41.38,5720
"707","Lienz",15.44,2394,59.63,9246,24.79,3844,21.77,4539,35.93,7522,58.6,9086
"708","Reutte",18.9,2195,61.89,7187,19.05,2212,12.88,1891,34.58,5115,51.58,5990
"709","Schwaz",17.53,4294,53.86,13193,28.22,6913,24.37,8962,33.32,12332,45.57,11164
"801","Bludenz",21.1,4468,56.4,11943,22.21,4703,17.48,4983,35.25,10103,54.24,11487
"802","Bregenz",19.38,6867,55.2,19559,24.71,8757,21.95,13131,36.82,22104,56.49,20015
"803","Dornbirn",21.43,4632,54.86,11857,23.06,4984,24.6,9998,36.59,14899,61.72,13341
"804","Feldkirch",20.62,6279,59.98,18262,18.97,5777,23.65,11543,34.35,16786,64.08,19511
"900","Wien(Stadt)",30.52,54295,28.4,50525,27.52,48957,11.28,107505,45.58,436661,51.19,91068
