"id","name.x","total_pop","pop_60to74","percent_60to74","pop_75andUp","percent_75andUp","households_no_kids","percent_households_no_kids","percent_1floor","abs_1floor","percent_2floor","abs_2floor","percent_3to5floor","abs_3to5floor","percent_own_occ","abs_own_occ","percent_priv_one","abs_priv_one","percent_res_one_dwell","abs_res_one_dwell"
"10101","Eisenstadt",16118,2951,18.31,1598,9.91,1724,41.24,41.39,1763,44.38,1890,13.74,585,15.59,1162,42.96,3209,67.64,2881
"10201","Rust",1933,420,21.73,300,15.52,245,43.83,71.69,856,24.71,295,3.6,43,4.2,36,35.91,311,79.73,952
"10301","Breitenbrunn am Neusiedler See",1943,463,23.83,323,16.62,293,52.42,66.16,741,31.52,353,2.32,26,9.46,90,41.13,392,80.54,902
"10302","Donnerskirchen",1881,460,24.46,192,10.21,255,46.79,70.85,700,27.43,271,1.72,17,4.45,39,38.52,339,80.97,800
"10303","Großhöflein",2078,461,22.18,178,8.57,293,46.07,54.01,492,42.48,387,3.51,32,3.44,32,31.98,299,79.8,727
"10304","Hornstein",3323,696,20.94,369,11.1,460,47.82,73.32,1564,24.47,522,2.2,47,5.63,87,36.89,570,88.84,1895
"10305","Klingenbach",1203,267,22.19,114,9.48,147,41.76,74.64,409,22.45,123,2.92,16,3.51,20,38.07,217,87.59,480
"10306","Leithaprodersdorf",1258,234,18.6,111,8.82,128,34.78,62.65,322,34.05,175,3.31,17,1.97,9,21.66,99,85.8,441
"10307","Mörbisch am See",2181,542,24.85,294,13.48,303,44.62,54.41,641,41.26,486,4.33,51,2.21,22,32.63,327,65.7,774
"10308","Müllendorf",1521,287,18.87,137,9.01,199,43.54,67.86,454,28.85,193,3.29,22,3.38,21,27.29,170,88.64,593
"10309","Neufeld an der Leitha",3594,643,17.89,407,11.32,449,44.11,63.29,905,30.14,431,6.29,90,17.08,283,37.92,631,82.52,1180
"10310","Oggau am Neusiedler See",1691,415,24.54,212,12.54,231,45.56,65.35,545,31.77,265,2.88,24,2.25,18,36.35,293,77.94,650
"10311","Oslip",1304,327,25.08,138,10.58,187,46.75,77.22,505,20.18,132,2.6,17,3.23,19,32.94,194,87.16,570
"10312","Purbach am Neusiedler See",3053,696,22.8,339,11.1,437,47.97,61.05,898,35.76,526,3.2,47,2.76,38,33.43,463,76.55,1126
"10313","Sankt Margarethen im Burgenland",2720,612,22.5,350,12.87,366,44.74,68.65,983,28.49,408,2.86,41,1.91,23,32.56,394,81.22,1163
"10314","Schützen am Gebirge",1448,315,21.75,166,11.46,185,41.39,64.96,443,32.84,224,2.2,15,3.83,23,26.41,159,82.4,562
"10315","Siegendorf",3228,623,19.3,385,11.93,413,42.19,66.64,895,30.98,416,2.38,32,4.84,68,30.75,433,81.53,1095
"10316","Steinbrunn",2996,512,17.09,318,10.61,358,40.82,75.79,1456,19.26,370,4.95,95,4.84,62,32.22,415,93.96,1805
"10317","Trausdorf an der Wulka",2143,474,22.12,271,12.65,292,46.2,81.06,1130,16.43,229,2.51,35,4.59,47,36.65,376,90.03,1255
"10318","Wimpassing an der Leitha",1724,286,16.59,137,7.95,226,44.58,61.76,449,34.39,250,3.85,28,7.25,53,32.21,238,84.73,616
"10319","Wulkaprodersdorf",1938,402,20.74,207,10.68,232,39.39,71.58,627,25.8,226,2.63,23,5.5,44,26.38,211,84.02,736
"10320","Loretto",520,119,22.88,60,11.54,76,51.01,75.44,258,22.51,77,2.05,7,4.02,10,39.36,98,88.01,301
"10321","Stotzing",821,159,19.37,84,10.23,92,38.17,66.95,239,30.25,108,2.8,10,1.7,6,32.67,115,85.43,305
"10322","Zillingtal",1045,242,23.16,78,7.46,147,47.73,80.37,430,16.64,89,2.99,16,2.77,13,35.32,166,87.29,467
"10323","Zagersdorf",1142,246,21.54,135,11.82,148,43.02,68.28,325,28.15,134,3.57,17,3.06,15,28.72,141,85.29,406
