"id","name","total_pop","pop_60to74","percent_60to74","pop_75andUp","percent_75andUp"
"10101","Eisenstadt",16118,2951,18.31,1598,9.91
"10201","Rust",1933,420,21.73,300,15.52
"10301","Breitenbrunn am Neusiedler See",1943,463,23.83,323,16.62
"10302","Donnerskirchen",1881,460,24.46,192,10.21
"10303","Großhöflein",2078,461,22.18,178,8.57
"10304","Hornstein",3323,696,20.94,369,11.1
"10305","Klingenbach",1203,267,22.19,114,9.48
"10306","Leithaprodersdorf",1258,234,18.6,111,8.82
"10307","Mörbisch am See",2181,542,24.85,294,13.48
"10308","Müllendorf",1521,287,18.87,137,9.01
"10309","Neufeld an der Leitha",3594,643,17.89,407,11.32
"10310","Oggau am Neusiedler See",1691,415,24.54,212,12.54
"10311","Oslip",1304,327,25.08,138,10.58
"10312","Purbach am Neusiedler See",3053,696,22.8,339,11.1
"10313","Sankt Margarethen im Burgenland",2720,612,22.5,350,12.87
"10314","Schützen am Gebirge",1448,315,21.75,166,11.46
"10315","Siegendorf",3228,623,19.3,385,11.93
"10316","Steinbrunn",2996,512,17.09,318,10.61
"10317","Trausdorf an der Wulka",2143,474,22.12,271,12.65
"10318","Wimpassing an der Leitha",1724,286,16.59,137,7.95
"10319","Wulkaprodersdorf",1938,402,20.74,207,10.68
"10320","Loretto",520,119,22.88,60,11.54
"10321","Stotzing",821,159,19.37,84,10.23
"10322","Zillingtal",1045,242,23.16,78,7.46
"10323","Zagersdorf",1142,246,21.54,135,11.82
"10401","Bocksdorf",790,174,22.03,104,13.16
"10402","Burgauberg-Neudauberg",1434,310,21.62,134,9.34
"10403","Eberau",910,261,28.68,143,15.71
"10404","Gerersdorf-Sulz",1028,273,26.56,140,13.62
"10405","Güssing",3520,815,23.15,549,15.6
"10406","Güttenbach",843,231,27.4,127,15.07
"10407","Heiligenbrunn",710,210,29.58,104,14.65
"10408","Kukmirn",1985,498,25.09,258,13
"10409","Neuberg im Burgenland",943,246,26.09,100,10.6
"10410","Neustift bei Güssing",444,139,31.31,73,16.44
"10411","Olbendorf",1470,402,27.35,173,11.77
"10412","Ollersdorf im Burgenland",955,244,25.55,108,11.31
"10413","Sankt Michael im Burgenland",1007,249,24.73,135,13.41
"10414","Stegersbach",2741,582,21.23,319,11.64
"10415","Stinatz",1193,308,25.82,114,9.56
"10416","Strem",934,227,24.3,198,21.2
"10417","Tobaj",1369,347,25.35,113,8.25
"10418","Hackerberg",383,86,22.45,32,8.36
"10419","Wörterberg",538,121,22.49,47,8.74
"10420","Großmürbisch",232,83,35.78,30,12.93
"10421","Inzenhof",336,89,26.49,35,10.42
"10422","Kleinmürbisch",227,59,25.99,29,12.78
"10423","Tschanigraben",64,24,37.5,7,10.94
"10424","Heugraben",233,62,26.61,32,13.73
"10425","Rohr im Burgenland",369,101,27.37,43,11.65
"10426","Bildein",352,83,23.58,46,13.07
"10427","Rauchwart",478,133,27.82,45,9.41
"10428","Moschendorf",364,106,29.12,55,15.11
"10501","Deutsch Kaltenbrunn",1730,426,24.62,187,10.81
"10502","Eltendorf",900,245,27.22,124,13.78
"10503","Heiligenkreuz im Lafnitztal",1242,301,24.24,167,13.45
"10504","Jennersdorf",4159,1030,24.77,484,11.64
"10505","Minihof-Liebau",1041,260,24.98,108,10.37
"10506","Mogersdorf",1153,261,22.64,124,10.75
"10507","Neuhaus am Klausenbach",879,222,25.26,123,13.99
"10508","Rudersdorf",2241,499,22.27,252,11.24
"10509","Sankt Martin an der Raab",1941,483,24.88,244,12.57
"10510","Weichselbaum",712,207,29.07,85,11.94
"10511","Königsdorf",784,177,22.58,100,12.76
"10512","Mühlgraben",375,118,31.47,29,7.73
"10601","Draßburg",1233,259,21.01,165,13.38
"10602","Forchtenstein",2800,635,22.68,305,10.89
"10603","Hirm",1103,214,19.4,90,8.16
