id,name,percent,abs
101,Eisenstadt(Stadt),44.38,1890
102,Rust(Stadt),24.71,295
103,Eisenstadt-Umgebung,28.38,6395
104,Güssing,21.95,2842
105,Jennersdorf,23.71,1867
106,Mattersburg,32.02,5610
107,Neusiedl am See,32.77,8907
108,Oberpullendorf,28.68,5524
109,Oberwart,25.1,6193
201,Klagenfurt Stadt,49.08,10617
202,Villach Stadt,50.63,6671
203,Hermagor,56.93,4432
204,Klagenfurt Land,47.04,11491
205,Sankt Veit an der Glan,49.94,9348
206,Spittal an der Drau,58.94,16650
207,Villach Land,53.89,14002
208,Völkermarkt,45.29,7708
209,Wolfsberg,51.39,9270
210,Feldkirchen,49.65,5945
301,Krems an der Donau(Stadt),40.54,2529
302,Sankt Pölten(Stadt),40.09,5429
303,Waidhofen an der Ybbs(Stadt),49.7,1640
304,Wiener Neustadt(Stadt),47.31,4914
305,Amstetten,60,21259
306,Baden,38.57,18605
307,Bruck an der Leitha,33.05,12457
308,Gänserndorf,27.22,13096
309,Gmünd,38.05,6774
310,Hollabrunn,29.04,7774
311,Horn,31.32,4660
312,Korneuburg,35.34,13049
313,Krems(Land),40.73,10301
314,Lilienfeld,42.13,4283
315,Melk,48.39,13552
316,Mistelbach,27.4,10726
317,Mödling,43.52,15797
318,Neunkirchen,41.34,14727
319,Sankt Pölten(Land),41.86,20968
320,Scheibbs,55.54,7858
321,Tulln,37.45,16899
322,Waidhofen an der Thaya,29.34,3909
323,Wiener Neustadt(Land),35.44,11763
325,Zwettl,38.54,7157
401,Stadt Linz,35.24,8447
402,Stadt Steyr,55.51,3992
403,Stadt Wels,55.55,6260
404,Braunau,64.47,24355
405,Eferding,61.65,6818
406,Freistadt,58.69,12910
407,Gmunden,54.46,18553
408,Grieskirchen,62.27,13873
409,Kirchdorf,53.71,10550
410,Linz-Land,54.16,21391
411,Perg,58.38,12390
412,Ried,63.7,13605
413,Rohrbach,58.99,11913
414,Schärding,60.14,12167
415,Steyr-Land,54.51,11194
416,Urfahr-Umgebung,55.59,15814
417,Vöcklabruck,61.32,28504
418,Wels-Land,57.78,14296
501,Salzburg(Stadt),43.75,9599
502,Hallein,61.16,9837
503,Salzburg-Umgebung,59.71,27259
504,St. Johann im Pongau,56.8,12791
505,Tamsweg,53.46,3897
506,Zell am See,58.51,16566
601,Graz(Stadt),42.73,18393
603,Deutschlandsberg,35.19,8695
606,Graz-Umgebung,41.54,22653
610,Leibnitz,36.72,12066
611,Leoben,48,8010
612,Liezen,50.87,15733
614,Murau,51.08,6078
616,Voitsberg,39.93,7817
617,Weiz,44.07,13787
620,Murtal,46.33,10515
621,Bruck-Mürzzuschlag,46.17,14720
622,Hartberg-Fürstenfeld,39.27,13252
623,Südoststeiermark,33.63,10957
701,Innsbruck-Stadt,27.28,3684
702,Imst,58.05,11031
703,Innsbruck-Land,55.76,25510
704,Kitzbühel,58.46,14013
705,Kufstein,57.58,16954
706,Landeck,52.11,7203
707,Lienz,59.63,9246
708,Reutte,61.89,7187
709,Schwaz,53.86,13193
801,Bludenz,56.4,11943
802,Bregenz,55.2,19559
803,Dornbirn,54.86,11857
804,Feldkirch,59.98,18262
900,Wien(Stadt),28.4,50525
