id,name,percent,abs
10101,Eisenstadt,13.74,585
10201,Rust,3.6,43
10301,Breitenbrunn am Neusiedler See,2.32,26
10302,Donnerskirchen,1.72,17
10303,Großhöflein,3.51,32
10304,Hornstein,2.2,47
10305,Klingenbach,2.92,16
10306,Leithaprodersdorf,3.31,17
10307,Mörbisch am See,4.33,51
10308,Müllendorf,3.29,22
10309,Neufeld an der Leitha,6.29,90
10310,Oggau am Neusiedler See,2.88,24
10311,Oslip,2.6,17
10312,Purbach am Neusiedler See,3.2,47
10313,Sankt Margarethen im Burgenland,2.86,41
10314,Schützen am Gebirge,2.2,15
10315,Siegendorf,2.38,32
10316,Steinbrunn,4.95,95
10317,Trausdorf an der Wulka,2.51,35
10318,Wimpassing an der Leitha,3.85,28
10319,Wulkaprodersdorf,2.63,23
10320,Loretto,2.05,7
10321,Stotzing,2.8,10
10322,Zillingtal,2.99,16
10323,Zagersdorf,3.57,17
10401,Bocksdorf,0.75,3
10402,Burgauberg-Neudauberg,1.5,9
10403,Eberau,1.18,7
10404,Gerersdorf-Sulz,2.29,12
10405,Güssing,7,103
10406,Güttenbach,0.94,4
10407,Heiligenbrunn,3.07,13
10408,Kukmirn,1.55,14
10409,Neuberg im Burgenland,0.83,4
10410,Neustift bei Güssing,0.75,2
10411,Olbendorf,1.44,11
10412,Ollersdorf im Burgenland,0.83,4
10413,Sankt Michael im Burgenland,1.91,10
10414,Stegersbach,5.28,67
10415,Stinatz,1.01,6
10416,Strem,1.15,7
10417,Tobaj,1.64,11
10418,Hackerberg,1.06,2
10419,Wörterberg,2.13,5
10420,Großmürbisch,2.05,3
10421,Inzenhof,1.55,3
10422,Kleinmürbisch,2.48,3
10423,Tschanigraben,0,0
10424,Heugraben,0.77,1
10425,Rohr im Burgenland,1.44,3
10426,Bildein,1.11,2
10427,Rauchwart,1.05,3
10428,Moschendorf,1.5,3
10501,Deutsch Kaltenbrunn,2.47,19
10502,Eltendorf,0.88,4
10503,Heiligenkreuz im Lafnitztal,4.52,29
10504,Jennersdorf,4.79,84
10505,Minihof-Liebau,1.25,6
10506,Mogersdorf,3.77,21
10507,Neuhaus am Klausenbach,3.64,16
10508,Rudersdorf,3.73,33
10509,Sankt Martin an der Raab,4.43,43
10510,Weichselbaum,2,8
10511,Königsdorf,2.05,7
10512,Mühlgraben,4.4,8
10601,Draßburg,0.85,5
10602,Forchtenstein,5.9,78
10603,Hirm,4.25,18
10604,Loipersbach im Burgenland,1.78,10
10605,Marz,1.3,12
10606,Mattersburg,6.24,163
10607,Neudörfl,5.91,105
10608,Pöttelsdorf,4.17,15
10609,Pöttsching,2.58,40
10610,Rohrbach bei Mattersburg,4.03,43
10611,Bad Sauerbrunn,6.59,64
10612,Schattendorf,3.31,39
10613,Sieggraben,2.52,14
10614,Sigleß,1.23,7
10615,Wiesen,1.07,14
10616,Antau,2,8
10617,Baumgarten,2.73,12
10618,Zemendorf-Stöttera,3.44,22
10619,Krensdorf,1.8,5
10701,Andau,1.57,17
10702,Apetlon,1.29,13
10703,Bruckneudorf,11.93,100
10704,Deutsch Jahrndorf,1.83,6
10705,Frauenkirchen,4.12,57
10706,Gattendorf,1.59,10
10707,Gols,3.41,59
10708,Halbturn,1.48,12
10709,Illmitz,2.55,30
10710,Jois,3.81,29
10711,Kittsee,3.7,48
10712,Mönchhof,3.1,31
10713,Neusiedl am See,9.21,289
10714,Nickelsdorf,1.23,11
10715,Pama,3.11,16
10716,Pamhagen,10.78,99
10717,Parndorf,6.19,116
10718,Podersdorf am See,4.89,58
10719,Sankt Andrä am Zicksee,2.01,15
10720,Tadten,4.02,23
10721,Wallern im Burgenland,1.43,11
10722,Weiden am See,3.37,57
10723,Winden am See,1.39,9
10724,Zurndorf,2.36,24
10725,Neudorf,0.99,4
10726,Potzneusiedl,3.25,11
10727,Edelstal,1.89,8
10801,Deutschkreutz,3.12,48
10802,Draßmarkt,2.39,15
10803,Frankenau-Unterpullendorf,3.6,24
10804,Großwarasdorf,1.38,13
10805,Horitschon,1.08,9
10806,Kaisersdorf,0.5,2
10807,Kobersdorf,5,46
10808,Lackenbach,3.2,18
10809,Lockenhaus,4.39,51
10810,Lutzmannsburg,3.91,23
10811,Mannersdorf an der Rabnitz,1.32,13
10812,Markt Sankt Martin,2.09,14
10813,Neckenmarkt,1.53,12
10814,Neutal,1.96,10
10815,Nikitsch,1.35,13
10816,Oberpullendorf,10.33,126
10817,Pilgersdorf,0.24,2
10818,Piringsdorf,2.05,8
10819,Raiding,2.3,9
10820,Ritzing,2.64,15
10821,Steinberg-Dörfl,3.48,25
10822,Stoob,3.05,19
10823,Weppersdorf,1.97,17
10824,Lackendorf,1.04,3
10825,Unterfrauenhaid,1.96,6
10826,Unterrabnitz-Schwendgraben,0.99,3
10827,Weingraben,1.55,3
10828,Oberloisdorf,1.27,5
10901,Bad Tatzmannsdorf,8.58,56
10902,Bernstein,3.37,35
10903,Deutsch Schützen-Eisenberg,1.21,8
10904,Grafenschachen,1.72,9
10905,Großpetersdorf,4.18,67
10906,Hannersdorf,0.4,2
10907,Kemeten,2.57,20
10908,Kohfidisch,2.88,22
10909,Litzelsdorf,1.5,9
10910,Loipersdorf-Kitzladen,3.34,18
10911,Mariasdorf,1.47,8
10912,Markt Allhau,1.48,13
10913,Markt Neuhodis,1,4
10914,Mischendorf,1.81,14
10915,Oberdorf im Burgenland,1.86,10
10916,Oberschützen,3.12,33
10917,Oberwart,10.21,268
10918,Pinkafeld,5.84,119
10919,Rechnitz,3.16,49
10920,Riedlingsdorf,1.72,13
10921,Rotenturm an der Pinka,2.29,16
10922,Schachendorf,1.29,6
10923,Stadtschlaining,2.67,27
10924,Unterkohlstätten,2.19,10
10925,Unterwart,2.86,16
10926,Weiden bei Rechnitz,1.3,7
10927,Wiesfleck,1.76,9
10928,Wolfau,8.54,55
10929,Neustift an der Lafnitz,2.87,8
10930,Jabing,1.37,5
10931,Badersdorf,2.05,3
10932,Schandorf,0.56,1
20101,Klagenfurt am Wörthersee,24.77,5359
20201,Villach,24.2,3189
20302,Dellach,14.25,64
20305,Hermagor-Pressegger See,15.24,474
20306,Kirchbach,7.72,75
20307,Kötschach-Mauthen,13.72,189
20316,St. Stefan im Gailtal,4.26,32
20320,Gitschtal,6.48,35
20321,Lesachtal,24.27,142
20402,Ebenthal in Kärnten,5.96,162
20403,Feistritz im Rosental,6.16,66
20405,Ferlach,6.49,195
20409,Grafenstein,5.56,64
20412,Keutschach am See,8.11,83
20414,Köttmannsdorf,5.1,64
20415,Krumpendorf am Wörthersee,17.96,236
20416,Ludmannsdorf,4.12,32
20417,Maria Rain,5.4,54
20418,Maria Saal,5.4,84
20419,Maria Wörth,15.6,142
20421,Moosburg,5.23,87
20424,Pörtschach am Wörther See,20.05,262
20425,Poggersdorf,3.94,51
20428,St. Margareten im Rosental,4.46,22
20432,Schiefling am Wörthersee,7.76,92
20435,Techelsberg am Wörther See,7.75,79
20441,Zell,1.27,4
20442,Magdalensberg,3.22,44
20501,Althofen,21.93,255
20502,Brückl,6.19,59
20503,Deutsch-Griffen,5,18
20504,Eberstein,8.21,43
20505,Friesach,9.52,165
20506,Glödnitz,5.05,27
20508,Gurk,10.34,43
20509,Guttaring,6.56,36
20511,Hüttenberg,4.81,39
20512,Kappel am Krappfeld,5.99,40
20513,Klein St. Paul,9.64,64
20515,Liebenfels,7.9,98
20518,Metnitz,5.04,41
20519,Micheldorf,9.51,35
20520,Mölbling,3.15,17
20523,St. Georgen am Längsee,6.89,97
20527,St. Veit an der Glan,22.17,671
20530,Straßburg,8.18,58
20531,Weitensfeld im Gurktal,3.51,30
20534,Frauenstein,4.56,63
20601,Bad Kleinkirchheim,25.16,279
20602,Baldramsdorf,5.08,34
20603,Berg im Drautal,12.62,64
20604,Dellach im Drautal,15.25,90
