id,name,percent,abs
10101,Eisenstadt,41.39,1763
10201,Rust,71.69,856
10301,Breitenbrunn am Neusiedler See,66.16,741
10302,Donnerskirchen,70.85,700
10303,Großhöflein,54.01,492
10304,Hornstein,73.32,1564
10305,Klingenbach,74.64,409
10306,Leithaprodersdorf,62.65,322
10307,Mörbisch am See,54.41,641
10308,Müllendorf,67.86,454
10309,Neufeld an der Leitha,63.29,905
10310,Oggau am Neusiedler See,65.35,545
10311,Oslip,77.22,505
10312,Purbach am Neusiedler See,61.05,898
10313,Sankt Margarethen im Burgenland,68.65,983
10314,Schützen am Gebirge,64.96,443
10315,Siegendorf,66.64,895
10316,Steinbrunn,75.79,1456
10317,Trausdorf an der Wulka,81.06,1130
10318,Wimpassing an der Leitha,61.76,449
10319,Wulkaprodersdorf,71.58,627
10320,Loretto,75.44,258
10321,Stotzing,66.95,239
10322,Zillingtal,80.37,430
10323,Zagersdorf,68.28,325
10401,Bocksdorf,78.11,314
10402,Burgauberg-Neudauberg,64.17,385
10403,Eberau,79.63,473
10404,Gerersdorf-Sulz,76.95,404
10405,Güssing,71.74,1056
10406,Güttenbach,84.98,362
10407,Heiligenbrunn,82.27,348
10408,Kukmirn,75.91,687
10409,Neuberg im Burgenland,83.47,404
10410,Neustift bei Güssing,85.66,227
10411,Olbendorf,80.81,619
10412,Ollersdorf im Burgenland,76.72,369
10413,Sankt Michael im Burgenland,74.24,389
10414,Stegersbach,65.22,827
10415,Stinatz,75.88,453
10416,Strem,66.17,403
10417,Tobaj,73.54,492
10418,Hackerberg,78.72,148
10419,Wörterberg,80,188
10420,Großmürbisch,89.73,131
10421,Inzenhof,88.08,170
10422,Kleinmürbisch,76.03,92
10423,Tschanigraben,88,44
10424,Heugraben,81.54,106
10425,Rohr im Burgenland,78.37,163
10426,Bildein,88.89,160
10427,Rauchwart,73.17,210
10428,Moschendorf,78.5,157
10501,Deutsch Kaltenbrunn,72.56,558
10502,Eltendorf,78.68,358
10503,Heiligenkreuz im Lafnitztal,76.32,490
10504,Jennersdorf,68.72,1204
10505,Minihof-Liebau,77.96,375
10506,Mogersdorf,75.04,418
10507,Neuhaus am Klausenbach,77.05,339
10508,Rudersdorf,63.24,559
10509,Sankt Martin an der Raab,76.62,744
10510,Weichselbaum,79.25,317
10511,Königsdorf,67.45,230
10512,Mühlgraben,74.73,136
10601,Draßburg,74.53,436
10602,Forchtenstein,59.61,788
10603,Hirm,70.52,299
10604,Loipersbach im Burgenland,71.76,404
10605,Marz,62.2,576
10606,Mattersburg,60.51,1580
10607,Neudörfl,58.94,1048
10608,Pöttelsdorf,56.94,205
10609,Pöttsching,54.23,840
10610,Rohrbach bei Mattersburg,69.32,739
10611,Bad Sauerbrunn,53.55,520
10612,Schattendorf,71.93,848
10613,Sieggraben,68.47,380
10614,Sigleß,72.41,412
10615,Wiesen,66.08,863
10616,Antau,72,288
10617,Baumgarten,75.63,332
10618,Zemendorf-Stöttera,74.33,475
10619,Krensdorf,70.14,195
10701,Andau,73.54,795
10702,Apetlon,74.68,755
10703,Bruckneudorf,49.4,414
10704,Deutsch Jahrndorf,77.98,255
10705,Frauenkirchen,64.19,889
10706,Gattendorf,69.37,437
10707,Gols,54.82,949
10708,Halbturn,72.31,585
10709,Illmitz,68.03,800
10710,Jois,59.06,450
10711,Kittsee,62.19,806
10712,Mönchhof,60.5,605
10713,Neusiedl am See,46.94,1473
10714,Nickelsdorf,75.5,675
10715,Pama,68.16,351
10716,Pamhagen,56.86,522
10717,Parndorf,58.86,1103
10718,Podersdorf am See,58.06,688
10719,Sankt Andrä am Zicksee,78.82,588
10720,Tadten,71.15,407
10721,Wallern im Burgenland,70.69,545
10722,Weiden am See,61.93,1046
10723,Winden am See,57.03,369
10724,Zurndorf,71.64,730
10725,Neudorf,74.01,299
10726,Potzneusiedl,76.63,259
10727,Edelstal,72.17,306
10801,Deutschkreutz,66.02,1016
10802,Draßmarkt,68.63,431
10803,Frankenau-Unterpullendorf,74.02,493
10804,Großwarasdorf,80.74,763
10805,Horitschon,69.35,577
10806,Kaisersdorf,86,344
10807,Kobersdorf,33.37,307
10808,Lackenbach,75.49,425
10809,Lockenhaus,62.7,728
10810,Lutzmannsburg,70.75,416
10811,Mannersdorf an der Rabnitz,74.29,731
10812,Markt Sankt Martin,70.15,470
10813,Neckenmarkt,68.37,536
10814,Neutal,56.58,288
10815,Nikitsch,83.09,801
10816,Oberpullendorf,55.82,681
10817,Pilgersdorf,79.98,679
10818,Piringsdorf,67.18,262
10819,Raiding,58.67,230
10820,Ritzing,78.38,446
10821,Steinberg-Dörfl,70.06,503
10822,Stoob,62.76,391
10823,Weppersdorf,67.9,586
10824,Lackendorf,75.69,218
10825,Unterfrauenhaid,73.53,225
10826,Unterrabnitz-Schwendgraben,64.69,196
10827,Weingraben,74.74,145
