id,name,percent,abs
10101,Eisenstadt,15.59,1162
10201,Rust,4.2,36
10301,Breitenbrunn am Neusiedler See,9.46,90
10302,Donnerskirchen,4.45,39
10303,Großhöflein,3.44,32
10304,Hornstein,5.63,87
10305,Klingenbach,3.51,20
10306,Leithaprodersdorf,1.97,9
10307,Mörbisch am See,2.21,22
10308,Müllendorf,3.38,21
10309,Neufeld an der Leitha,17.08,283
10310,Oggau am Neusiedler See,2.25,18
10311,Oslip,3.23,19
10312,Purbach am Neusiedler See,2.76,38
10313,Sankt Margarethen im Burgenland,1.91,23
10314,Schützen am Gebirge,3.83,23
10315,Siegendorf,4.84,68
10316,Steinbrunn,4.84,62
10317,Trausdorf an der Wulka,4.59,47
10318,Wimpassing an der Leitha,7.25,53
10319,Wulkaprodersdorf,5.5,44
10320,Loretto,4.02,10
10321,Stotzing,1.7,6
10322,Zillingtal,2.77,13
10323,Zagersdorf,3.06,15
10401,Bocksdorf,0.81,3
10402,Burgauberg-Neudauberg,2.05,12
10403,Eberau,1.96,8
10404,Gerersdorf-Sulz,0.67,3
10405,Güssing,9.38,155
10406,Güttenbach,0.84,3
10407,Heiligenbrunn,0.61,2
10408,Kukmirn,2.51,21
10409,Neuberg im Burgenland,0.47,2
10410,Neustift bei Güssing,3.72,8
10411,Olbendorf,0.94,6
10412,Ollersdorf im Burgenland,1.14,5
10413,Sankt Michael im Burgenland,2.94,14
10414,Stegersbach,4.47,57
10415,Stinatz,0.21,1
10416,Strem,0.73,3
10417,Tobaj,1.54,9
10418,Hackerberg,0,0
10419,Wörterberg,0,0
10420,Großmürbisch,1.77,2
10421,Inzenhof,2.72,4
10422,Kleinmürbisch,0,0
10423,Tschanigraben,0,0
10424,Heugraben,3.03,3
10425,Rohr im Burgenland,0,0
10426,Bildein,0,0
10427,Rauchwart,0.91,2
10428,Moschendorf,0.65,1
10501,Deutsch Kaltenbrunn,3.8,28
10502,Eltendorf,2.52,10
10503,Heiligenkreuz im Lafnitztal,2.61,15
10504,Jennersdorf,6.17,118
10505,Minihof-Liebau,3.21,14
10506,Mogersdorf,0.38,2
10507,Neuhaus am Klausenbach,0,0
10508,Rudersdorf,6.68,68
10509,Sankt Martin an der Raab,2.41,21
10510,Weichselbaum,0,0
10511,Königsdorf,3.27,11
10512,Mühlgraben,0.58,1
10601,Draßburg,4.14,22
10602,Forchtenstein,2.62,31
10603,Hirm,3.66,17
10604,Loipersbach im Burgenland,4.15,22
10605,Marz,1.85,16
10606,Mattersburg,10.13,350
10607,Neudörfl,11.43,251
10608,Pöttelsdorf,4.36,15
10609,Pöttsching,3.53,49
10610,Rohrbach bei Mattersburg,10.08,111
10611,Bad Sauerbrunn,7.58,81
10612,Schattendorf,2.3,25
10613,Sieggraben,0.19,1
10614,Sigleß,2.1,11
10615,Wiesen,1.44,17
10616,Antau,2.25,8
10617,Baumgarten,1.67,7
10618,Zemendorf-Stöttera,1.81,10
10619,Krensdorf,1.61,4
10701,Andau,0.6,6
10702,Apetlon,1.4,11
10703,Bruckneudorf,12.31,183
10704,Deutsch Jahrndorf,1.06,3
10705,Frauenkirchen,1.04,14
10706,Gattendorf,5.72,35
10707,Gols,3.47,59
10708,Halbturn,2.03,16
10709,Illmitz,2.24,23
10710,Jois,3.36,24
10711,Kittsee,10.89,159
10712,Mönchhof,3.2,29
10713,Neusiedl am See,12.34,501
10714,Nickelsdorf,5.74,46
10715,Pama,3.18,17
10716,Pamhagen,0.47,3
10717,Parndorf,5.81,127
10718,Podersdorf am See,4.18,40
10719,Sankt Andrä am Zicksee,1.78,11
10720,Tadten,0.42,2
10721,Wallern im Burgenland,2.47,17
10722,Weiden am See,5.43,62
10723,Winden am See,2.91,19
10724,Zurndorf,2.21,22
10725,Neudorf,3.71,13
10726,Potzneusiedl,3.59,11
