id,name,income
10101,Eisenstadt,32774
10201,Rust,24956
10301,Breitenbrunn am Neusiedler See,30022
10302,Donnerskirchen,27442
10303,Großhöflein,30000
10304,Hornstein,29246
10305,Klingenbach,25814
10306,Leithaprodersdorf,26120
10307,Mörbisch am See,22710
10308,Müllendorf,29970
10309,Neufeld an der Leitha,28897
10310,Oggau am Neusiedler See,24984
10311,Oslip,25512
10312,Purbach am Neusiedler See,26898
10313,Sankt Margarethen im Burgenland,24527
10314,Schützen am Gebirge,27082
10315,Siegendorf,28054
10316,Steinbrunn,28796
10317,Trausdorf an der Wulka,29742
10318,Wimpassing an der Leitha,29367
10319,Wulkaprodersdorf,29179
10320,Loretto,32049
10321,Stotzing,23527
10322,Zillingtal,27405
10323,Zagersdorf,25462
10401,Bocksdorf,24133
10402,Burgauberg-Neudauberg,22731
10403,Eberau,24075
10404,Gerersdorf-Sulz,23503
10405,Güssing,26249
10406,Güttenbach,22040
10407,Heiligenbrunn,21629
10408,Kukmirn,23205
10409,Neuberg im Burgenland,22110
10410,Neustift bei Güssing,21260
10411,Olbendorf,24168
10412,Ollersdorf im Burgenland,24047
10413,Sankt Michael im Burgenland,23862
10414,Stegersbach,25971
10415,Stinatz,23944
10416,Strem,21684
10417,Tobaj,23201
10418,Hackerberg,23394
10419,Wörterberg,25138
10420,Großmürbisch,24309
10421,Inzenhof,23547
10422,Kleinmürbisch,21411
10423,Tschanigraben,22618
10424,Heugraben,22782
10425,Rohr im Burgenland,22257
10426,Bildein,22064
10427,Rauchwart,21990
10428,Moschendorf,23116
10501,Deutsch Kaltenbrunn,23477
10502,Eltendorf,22105
10503,Heiligenkreuz im Lafnitztal,23274
10504,Jennersdorf,23589
10505,Minihof-Liebau,22320
10506,Mogersdorf,21999
10507,Neuhaus am Klausenbach,22018
10508,Rudersdorf,25029
10509,Sankt Martin an der Raab,22019
10510,Weichselbaum,20013
10511,Königsdorf,21621
10512,Mühlgraben,20322
10601,Draßburg,26414
10602,Forchtenstein,26213
10603,Hirm,28005
10604,Loipersbach im Burgenland,25294
10605,Marz,26191
10606,Mattersburg,27764
10607,Neudörfl,25999
10608,Pöttelsdorf,28110
10609,Pöttsching,28000
10610,Rohrbach bei Mattersburg,24481
10611,Bad Sauerbrunn,29634
10612,Schattendorf,25727
10613,Sieggraben,24419
10614,Sigleß,28912
10615,Wiesen,25680
10616,Antau,23703
10617,Baumgarten,27970
10618,Zemendorf-Stöttera,27042
10619,Krensdorf,26224
10701,Andau,24288
10702,Apetlon,24521
10703,Bruckneudorf,27552
10704,Deutsch Jahrndorf,26303
10705,Frauenkirchen,25406
10706,Gattendorf,25852
10707,Gols,25267
10708,Halbturn,26527
10709,Illmitz,25237
10710,Jois,27114
10711,Kittsee,26069
10712,Mönchhof,24751
10713,Neusiedl am See,29178
10714,Nickelsdorf,26128
10715,Pama,26164
10716,Pamhagen,23191
10717,Parndorf,26608
10718,Podersdorf am See,25765
10719,Sankt Andrä am Zicksee,25838
10720,Tadten,23845
10721,Wallern im Burgenland,23189
10722,Weiden am See,27816
10723,Winden am See,26691
10724,Zurndorf,26262
10725,Neudorf,26109
10726,Potzneusiedl,26842
10727,Edelstal,28149
10801,Deutschkreutz,25414
10802,Draßmarkt,23174
10803,Frankenau-Unterpullendorf,25640
10804,Großwarasdorf,25859
10805,Horitschon,24445
10806,Kaisersdorf,26217
10807,Kobersdorf,25435
10808,Lackenbach,23805
10809,Lockenhaus,23954
10810,Lutzmannsburg,24260
10811,Mannersdorf an der Rabnitz,24706
10812,Markt Sankt Martin,26031
10813,Neckenmarkt,21764
10814,Neutal,27361
10815,Nikitsch,24324
10816,Oberpullendorf,26673
10817,Pilgersdorf,24196
10818,Piringsdorf,22571
10819,Raiding,24149
10820,Ritzing,26080
10821,Steinberg-Dörfl,26867
10822,Stoob,25577
10823,Weppersdorf,24546
10824,Lackendorf,25845
10825,Unterfrauenhaid,25815
10826,Unterrabnitz-Schwendgraben,24971
10827,Weingraben,24527
10828,Oberloisdorf,24097
10901,Bad Tatzmannsdorf,30366
10902,Bernstein,25150
10903,Deutsch Schützen-Eisenberg,23358
10904,Grafenschachen,24853
10905,Großpetersdorf,24880
10906,Hannersdorf,24000
10907,Kemeten,23622
10908,Kohfidisch,23468
10909,Litzelsdorf,23863
10910,Loipersdorf-Kitzladen,23532
10911,Mariasdorf,23808
10912,Markt Allhau,25988
10913,Markt Neuhodis,23102
10914,Mischendorf,22034
10915,Oberdorf im Burgenland,22952
10916,Oberschützen,28712
10917,Oberwart,27332
10918,Pinkafeld,25612
10919,Rechnitz,23061
10920,Riedlingsdorf,24724
10921,Rotenturm an der Pinka,24379
10922,Schachendorf,24600
10923,Stadtschlaining,24010
10924,Unterkohlstätten,24174
10925,Unterwart,23282
10926,Weiden bei Rechnitz,23144
10927,Wiesfleck,22986
10928,Wolfau,22852
10929,Neustift an der Lafnitz,23001
10930,Jabing,22348
10931,Badersdorf,21674
10932,Schandorf,26949
20101,Klagenfurt am Wörthersee,29341
20201,Villach,27212
20302,Dellach,22110
20305,Hermagor-Pressegger See,25350
20306,Kirchbach,20462
20307,Kötschach-Mauthen,23895
20316,St. Stefan im Gailtal,23742
20320,Gitschtal,21500
20321,Lesachtal,18371
20402,Ebenthal in Kärnten,25287
20403,Feistritz im Rosental,25017
20405,Ferlach,24719
20409,Grafenstein,26200
20412,Keutschach am See,26666
20414,Köttmannsdorf,26757
20415,Krumpendorf am Wörthersee,33679
20416,Ludmannsdorf,24402
20417,Maria Rain,28861
20418,Maria Saal,28987
20419,Maria Wörth,29542
20421,Moosburg,24740
20424,Pörtschach am Wörther See,28947
20425,Poggersdorf,25389
20428,St. Margareten im Rosental,22436
20432,Schiefling am Wörthersee,22446
20435,Techelsberg am Wörther See,24551
20441,Zell,19568
20442,Magdalensberg,26330
20501,Althofen,24847
20502,Brückl,23894
20503,Deutsch-Griffen,19073
20504,Eberstein,22721
20505,Friesach,22589
20506,Glödnitz,22696
20508,Gurk,21777
20509,Guttaring,22763
20511,Hüttenberg,20643
20512,Kappel am Krappfeld,26080
20513,Klein St. Paul,22889
20515,Liebenfels,22546
20518,Metnitz,20910
20519,Micheldorf,22166
20520,Mölbling,23986
20523,St. Georgen am Längsee,27083
20527,St. Veit an der Glan,25493
20530,Straßburg,21112
20531,Weitensfeld im Gurktal,21688
20534,Frauenstein,26803
20601,Bad Kleinkirchheim,23460
20602,Baldramsdorf,24345
20603,Berg im Drautal,20428
20604,Dellach im Drautal,21938
20605,Großkirchheim,20128
20607,Flattach,24433
20608,Gmünd in Kärnten,22907
20609,Greifenburg,22289
20610,Heiligenblut am Großglockner,22168
20611,Irschen,22058
20613,Kleblach-Lind,21682
20616,Lendorf,22600
20618,Mallnitz,24885
20619,Malta,21557
20620,Millstatt am See,24474
20622,Mörtschach,19024
20624,Mühldorf,22664
20625,Oberdrauburg,22460
20627,Obervellach,22782
20630,Radenthein,24463
20631,Rangersdorf,20251
20632,Rennweg am Katschberg,22477
20633,Sachsenburg,24583
20634,Seeboden am Millstätter See,26087
20635,Spittal an der Drau,25168
20636,Stall,19788
20637,Steinfeld,21887
20638,Trebesing,20899
20639,Weißensee,25371
20640,Winklern,21787
20642,Krems in Kärnten,20376
20643,Lurnfeld,24314
20644,Reißeck,24510
20701,Afritz am See,22747
20702,Arnoldstein,25169
20703,Arriach,21765
20705,Bad Bleiberg,25237
20707,Feistritz an der Gail,23842
20708,Feld am See,24474
20710,Ferndorf,22420
20711,Finkenstein am Faaker See,24990
