id,name,price_sq_m
10101,Eisenstadt,312.7
10201,Rust,245.1
10301,Breitenbrunn am Neusiedler See,326.8
10302,Donnerskirchen,239.2
10303,Großhöflein,278.2
10304,Hornstein,203.4
10305,Klingenbach,111.7
10306,Leithaprodersdorf,172.9
10307,Mörbisch am See,154.4
10308,Müllendorf,213.3
10309,Neufeld an der Leitha,295.1
10310,Oggau am Neusiedler See,345.4
10311,Oslip,135.1
10312,Purbach am Neusiedler See,220.7
10313,Sankt Margarethen im Burgenland,109.6
10314,Schützen am Gebirge,119.3
10315,Siegendorf,119.8
10316,Steinbrunn,174.9
10317,Trausdorf an der Wulka,138
10318,Wimpassing an der Leitha,209.7
10319,Wulkaprodersdorf,158.6
10320,Loretto,135.1
10321,Stotzing,135.1
10322,Zillingtal,112.8
10323,Zagersdorf,111.7
10401,Bocksdorf,18.4
10402,Burgauberg-Neudauberg,22.4
10403,Eberau,15.2
10404,Gerersdorf-Sulz,18.4
10405,Güssing,28.4
10406,Güttenbach,12
10407,Heiligenbrunn,15.2
10408,Kukmirn,18.4
10409,Neuberg im Burgenland,12
10410,Neustift bei Güssing,15.2
10411,Olbendorf,12
10412,Ollersdorf im Burgenland,22.4
10413,Sankt Michael im Burgenland,18.4
10414,Stegersbach,30.9
10415,Stinatz,22.4
10416,Strem,15.2
10417,Tobaj,15.2
10418,Hackerberg,22.4
10419,Wörterberg,22.4
10420,Großmürbisch,15.2
10421,Inzenhof,15.2
10422,Kleinmürbisch,15.2
10423,Tschanigraben,15.2
10424,Heugraben,18.4
10425,Rohr im Burgenland,18.4
10426,Bildein,15.2
10427,Rauchwart,141.8
10428,Moschendorf,15.2
10501,Deutsch Kaltenbrunn,21.5
10502,Eltendorf,21.5
10503,Heiligenkreuz im Lafnitztal,21.5
10504,Jennersdorf,33.1
10505,Minihof-Liebau,13.4
10506,Mogersdorf,21.5
10507,Neuhaus am Klausenbach,13.4
10508,Rudersdorf,30.4
10509,Sankt Martin an der Raab,13.4
10510,Weichselbaum,21.5
10511,Königsdorf,21.5
10512,Mühlgraben,13.4
10601,Draßburg,68.4
10602,Forchtenstein,79.3
10603,Hirm,89.4
10604,Loipersbach im Burgenland,68.4
10605,Marz,77.6
10606,Mattersburg,165.1
10607,Neudörfl,182
10608,Pöttelsdorf,69.8
10609,Pöttsching,112.8
10610,Rohrbach bei Mattersburg,68.4
10611,Bad Sauerbrunn,198.8
10612,Schattendorf,76.3
10613,Sieggraben,46.1
10614,Sigleß,69.8
10615,Wiesen,123.1
10616,Antau,89.4
10617,Baumgarten,68.4
10618,Zemendorf-Stöttera,91.6
10619,Krensdorf,69.8
10701,Andau,48.9
10702,Apetlon,57.1
10703,Bruckneudorf,317.8
10704,Deutsch Jahrndorf,99.2
10705,Frauenkirchen,112.5
10706,Gattendorf,198.5
10707,Gols,241.3
10708,Halbturn,112.5
10709,Illmitz,138.7
10710,Jois,276.4
10711,Kittsee,260.4
10712,Mönchhof,112.5
10713,Neusiedl am See,390.7
10714,Nickelsdorf,99.2
10715,Pama,97.1
10716,Pamhagen,57.1
10717,Parndorf,283.8
10718,Podersdorf am See,183
10719,Sankt Andrä am Zicksee,72.7
10720,Tadten,57.4
10721,Wallern im Burgenland,57.1
10722,Weiden am See,347.3
10723,Winden am See,333
10724,Zurndorf,126.9
10725,Neudorf,139.1
10726,Potzneusiedl,170.6
10727,Edelstal,244.9
10801,Deutschkreutz,71.1
10802,Draßmarkt,25.5
10803,Frankenau-Unterpullendorf,27.7
10804,Großwarasdorf,19.5
10805,Horitschon,44.4
10806,Kaisersdorf,25.5
10807,Kobersdorf,33.2
10808,Lackenbach,33.2
10809,Lockenhaus,21.7
10810,Lutzmannsburg,27.7
10811,Mannersdorf an der Rabnitz,27.7
10812,Markt Sankt Martin,25.5
10813,Neckenmarkt,32.7
10814,Neutal,39.2
10815,Nikitsch,10.3
10816,Oberpullendorf,76.6
10817,Pilgersdorf,21.7
10818,Piringsdorf,21.7
10819,Raiding,19.5
10820,Ritzing,31
10821,Steinberg-Dörfl,27.7
10822,Stoob,39.2
10823,Weppersdorf,33.2
10824,Lackendorf,33.2
10825,Unterfrauenhaid,19.5
10826,Unterrabnitz-Schwendgraben,21.7
10827,Weingraben,25.5
10828,Oberloisdorf,27.7
10901,Bad Tatzmannsdorf,78.3
10902,Bernstein,22.5
10903,Deutsch Schützen-Eisenberg,16.4
10904,Grafenschachen,28.3
10905,Großpetersdorf,30.7
10906,Hannersdorf,16.4
10907,Kemeten,20.8
10908,Kohfidisch,16.4
10909,Litzelsdorf,20.8
10910,Loipersdorf-Kitzladen,28.3
10911,Mariasdorf,22.5
10912,Markt Allhau,28.3
10913,Markt Neuhodis,25.9
10914,Mischendorf,21.8
10915,Oberdorf im Burgenland,12
10916,Oberschützen,31.6
10917,Oberwart,88.7
10918,Pinkafeld,59
10919,Rechnitz,25.9
10920,Riedlingsdorf,31.6
10921,Rotenturm an der Pinka,21.8
10922,Schachendorf,25.9
10923,Stadtschlaining,22.5
10924,Unterkohlstätten,22.5
10925,Unterwart,48.3
10926,Weiden bei Rechnitz,22.5
10927,Wiesfleck,31.6
10928,Wolfau,20.8
10929,Neustift an der Lafnitz,28.3
10930,Jabing,19
10931,Badersdorf,16.4
10932,Schandorf,16.4
20101,Klagenfurt am Wörthersee,202.9
20201,Villach,214.5
20302,Dellach,48.5
20305,Hermagor-Pressegger See,71
20306,Kirchbach,48.5
20307,Kötschach-Mauthen,64.3
20316,St. Stefan im Gailtal,48.5
