id,name,percent,abs
10101,Eisenstadt,41.24,1724
10201,Rust,43.83,245
10301,Breitenbrunn am Neusiedler See,52.42,293
10302,Donnerskirchen,46.79,255
10303,Großhöflein,46.07,293
10304,Hornstein,47.82,460
10305,Klingenbach,41.76,147
10306,Leithaprodersdorf,34.78,128
10307,Mörbisch am See,44.62,303
10308,Müllendorf,43.54,199
10309,Neufeld an der Leitha,44.11,449
10310,Oggau am Neusiedler See,45.56,231
10311,Oslip,46.75,187
10312,Purbach am Neusiedler See,47.97,437
10313,Sankt Margarethen im Burgenland,44.74,366
10314,Schützen am Gebirge,41.39,185
10315,Siegendorf,42.19,413
10316,Steinbrunn,40.82,358
10317,Trausdorf an der Wulka,46.2,292
10318,Wimpassing an der Leitha,44.58,226
10319,Wulkaprodersdorf,39.39,232
10320,Loretto,51.01,76
10321,Stotzing,38.17,92
10322,Zillingtal,47.73,147
10323,Zagersdorf,43.02,148
10401,Bocksdorf,42.98,104
10402,Burgauberg-Neudauberg,45.37,186
10403,Eberau,51.48,139
10404,Gerersdorf-Sulz,45.22,142
10405,Güssing,44.49,448
10406,Güttenbach,40.39,103
10407,Heiligenbrunn,50.88,116
10408,Kukmirn,44.5,267
10409,Neuberg im Burgenland,39.15,110
10410,Neustift bei Güssing,55.3,73
10411,Olbendorf,42.24,185
10412,Ollersdorf im Burgenland,43.99,128
10413,Sankt Michael im Burgenland,43.69,135
10414,Stegersbach,42.8,324
10415,Stinatz,39.03,137
10416,Strem,52.53,135
10417,Tobaj,43.61,181
10418,Hackerberg,40.87,47
10419,Wörterberg,44.37,63
10420,Großmürbisch,53.03,35
10421,Inzenhof,42.27,41
10422,Kleinmürbisch,42.25,30
10423,Tschanigraben,52.63,10
10424,Heugraben,46.27,31
10425,Rohr im Burgenland,49.56,56
10426,Bildein,34.69,34
10427,Rauchwart,42.03,58
10428,Moschendorf,47.5,57
10501,Deutsch Kaltenbrunn,43.79,229
10502,Eltendorf,43.17,120
10503,Heiligenkreuz im Lafnitztal,48.45,187
10504,Jennersdorf,47.5,580
10505,Minihof-Liebau,43.29,142
10506,Mogersdorf,41.48,146
10507,Neuhaus am Klausenbach,42.08,109
10508,Rudersdorf,46.32,315
10509,Sankt Martin an der Raab,47.63,291
10510,Weichselbaum,49.77,109
10511,Königsdorf,47.26,112
10512,Mühlgraben,37.27,41
10601,Draßburg,45.06,155
10602,Forchtenstein,46.62,400
10603,Hirm,44.04,144
10604,Loipersbach im Burgenland,40.28,145
10605,Marz,43.14,280
10606,Mattersburg,42.42,920
10607,Neudörfl,46.41,647
10608,Pöttelsdorf,45.92,107
10609,Pöttsching,47.67,429
