id,name,percent,abs
10101,Eisenstadt,22.44,3588
10201,Rust,30.81,611
10301,Breitenbrunn am Neusiedler See,33.47,643
10302,Donnerskirchen,30.52,568
10303,Großhöflein,25.34,529
10304,Hornstein,26.41,873
10305,Klingenbach,25.12,322
10306,Leithaprodersdorf,22.8,280
10307,Mörbisch am See,32.08,709
10308,Müllendorf,22.93,337
10309,Neufeld an der Leitha,25.05,913
10310,Oggau am Neusiedler See,32.75,558
10311,Oslip,30.42,393
10312,Purbach am Neusiedler See,28.21,847
10313,Sankt Margarethen im Burgenland,29.91,810
10314,Schützen am Gebirge,28.5,413
10315,Siegendorf,26.27,857
10316,Steinbrunn,23.55,717
10317,Trausdorf an der Wulka,29.1,628
10318,Wimpassing an der Leitha,19.6,341
10319,Wulkaprodersdorf,26.72,520
10320,Loretto,25,130
10321,Stotzing,24.52,203
10322,Zillingtal,24.76,253
10323,Zagersdorf,29.96,341
10401,Bocksdorf,31.56,255
10402,Burgauberg-Neudauberg,26.55,385
10403,Eberau,34.64,318
10404,Gerersdorf-Sulz,33.3,340
10405,Güssing,32.54,1170
10406,Güttenbach,36.38,314
10407,Heiligenbrunn,38.5,283
10408,Kukmirn,32.17,647
10409,Neuberg im Burgenland,30.58,289
10410,Neustift bei Güssing,40.92,178
10411,Olbendorf,32.89,489
10412,Ollersdorf im Burgenland,28.91,277
10413,Sankt Michael im Burgenland,33.24,340
10414,Stegersbach,28.34,779
10415,Stinatz,28.51,359
10416,Strem,40.04,366
10417,Tobaj,27.88,390
10418,Hackerberg,27.25,103
10419,Wörterberg,25.52,135
10420,Großmürbisch,40.43,95
10421,Inzenhof,29.79,98
10422,Kleinmürbisch,33.19,76
10423,Tschanigraben,40.91,27
10424,Heugraben,34.07,77
10425,Rohr im Burgenland,36.81,134
10426,Bildein,30.72,106
10427,Rauchwart,30.75,147
10428,Moschendorf,38.26,145
10501,Deutsch Kaltenbrunn,30.72,530
10502,Eltendorf,34.03,309
10503,Heiligenkreuz im Lafnitztal,31.3,400
10504,Jennersdorf,30.41,1267
10505,Minihof-Liebau,26.43,277
10506,Mogersdorf,28.16,330
10507,Neuhaus am Klausenbach,30.72,278
10508,Rudersdorf,28.43,628
10509,Sankt Martin an der Raab,31.93,628
10510,Weichselbaum,33.47,237
10511,Königsdorf,30.56,239
10512,Mühlgraben,27.27,105
10601,Draßburg,30.51,375
10602,Forchtenstein,27.05,753
10603,Hirm,24.91,271
10604,Loipersbach im Burgenland,26.47,325
10605,Marz,26.48,555
10606,Mattersburg,24.2,1825
10607,Neudörfl,23.63,1170
10608,Pöttelsdorf,25.56,195
10609,Pöttsching,27.57,846
10610,Rohrbach bei Mattersburg,26.64,699
10611,Bad Sauerbrunn,26.18,614
10612,Schattendorf,27.38,658
10613,Sieggraben,27.78,350
10614,Sigleß,24.89,296
10615,Wiesen,27.33,756
10616,Antau,25.27,210
10617,Baumgarten,28.26,260
10618,Zemendorf-Stöttera,25.33,325
10619,Krensdorf,26.92,168
10701,Andau,36.05,826
10702,Apetlon,36.02,625
10703,Bruckneudorf,21.07,647
10704,Deutsch Jahrndorf,28.73,187
10705,Frauenkirchen,29.35,873
10706,Gattendorf,22.12,332
10707,Gols,26.27,1046
10708,Halbturn,32.12,609
10709,Illmitz,33.26,784
10710,Jois,26.43,433
10711,Kittsee,18.46,687
10712,Mönchhof,27.55,606
10713,Neusiedl am See,19.84,1776
10714,Nickelsdorf,28.83,535
10715,Pama,23.17,295
10716,Pamhagen,33.71,506
10717,Parndorf,17.34,925
10718,Podersdorf am See,30.6,667
10719,Sankt Andrä am Zicksee,33.21,461
10720,Tadten,37.28,431
10721,Wallern im Burgenland,32.4,533
10722,Weiden am See,26.93,701
10723,Winden am See,26.19,364
10724,Zurndorf,28.7,657
10725,Neudorf,23.51,193
10726,Potzneusiedl,25.41,170
10727,Edelstal,24.51,200
10801,Deutschkreutz,31.3,994
10802,Draßmarkt,30.25,415
10803,Frankenau-Unterpullendorf,35.13,392
10804,Großwarasdorf,38.42,521
10805,Horitschon,29.3,538
10806,Kaisersdorf,30.43,182
10807,Kobersdorf,27.35,513
10808,Lackenbach,33.45,384
10809,Lockenhaus,29.75,612
10810,Lutzmannsburg,32.5,273
10811,Mannersdorf an der Rabnitz,30.7,547
10812,Markt Sankt Martin,27.34,350
10813,Neckenmarkt,31.3,524
10814,Neutal,29.85,331
10815,Nikitsch,39.45,555
10816,Oberpullendorf,27.23,911
10817,Pilgersdorf,31.03,490
10818,Piringsdorf,30.6,254
10819,Raiding,35.53,324
10820,Ritzing,33.23,307
10821,Steinberg-Dörfl,28.77,376
10822,Stoob,25.17,341
10823,Weppersdorf,27.77,531
10824,Lackendorf,30.05,180
10825,Unterfrauenhaid,26.86,173
10826,Unterrabnitz-Schwendgraben,24.96,158
10827,Weingraben,32.68,117
10828,Oberloisdorf,28.34,225
10901,Bad Tatzmannsdorf,28.02,466
10902,Bernstein,32.27,690
10903,Deutsch Schützen-Eisenberg,38.09,406
10904,Grafenschachen,25.93,322
10905,Großpetersdorf,29.7,1067
10906,Hannersdorf,33.29,246
10907,Kemeten,26.39,408
10908,Kohfidisch,32.35,470
10909,Litzelsdorf,28.32,328
10910,Loipersdorf-Kitzladen,21.08,288
10911,Mariasdorf,29.95,339
10912,Markt Allhau,25.84,502
10913,Markt Neuhodis,34.38,230
10914,Mischendorf,33.6,495
10915,Oberdorf im Burgenland,30.77,300
10916,Oberschützen,26.36,653
10917,Oberwart,25.13,2019
10918,Pinkafeld,25.81,1540
10919,Rechnitz,31.13,941
10920,Riedlingsdorf,27.11,453
10921,Rotenturm an der Pinka,26.85,385
10922,Schachendorf,30.01,223
10923,Stadtschlaining,31.19,626
10924,Unterkohlstätten,30.47,298
10925,Unterwart,25.46,251
10926,Weiden bei Rechnitz,34.23,279
10927,Wiesfleck,23.38,281
10928,Wolfau,21.85,333
10929,Neustift an der Lafnitz,20.24,167
10930,Jabing,31.78,232
10931,Badersdorf,33.92,96
10932,Schandorf,40.74,132
20101,Klagenfurt am Wörthersee,24.27,25397
20201,Villach,24.43,16014
20302,Dellach,28.92,343
20305,Hermagor-Pressegger See,28.42,1977
20306,Kirchbach,29.35,730
