id;name;geb;gebmwhg;whg;wgeb;ntz;wgeb_1whg;wgeb_2whg;wgeb_3pwhg;wgeb_gem;geb_hotel;geb_buero;geb_handel;geb_verkehr;geb_indust;geb_kultur;geb_sonst;geb_unbekannt;bp_vor1919;bp_1919b1944;bp_1945b1960;bp_1961b1970;bp_1971b1980;bp_1981b1990;bp_1991b2000;bp_2001b2005;bp_2006b2010;bp_2011b2015;bp_2016b2020;bp_2021b2025;bp_unbekannt;gfl_lt50;gfl_50b74;gfl_75b99;gfl_100b149;gfl_150b249;gfl_250b499;gfl_500b999;gfl_ge1000;gfl_unbekannt;rwg_01b02;rwg_03b10;rwg_11b20;rwg_21p;rwg_gem;wgnn_01b02;wgnn_03b10;wgnn_11b20;wgnn_21p;wgnn_gem;nwg_01b02;nwg_03b10;nwg_11b20;nwg_21p;nwg_gem;nwg_unbekannt;nurhws;nurnws;hwsnws;ohnews;whg1wfl_lt60;whg1wfl_60b89;whg1wfl_90b119;whg1wfl_120b149;whg1wfl_150b199;whg1wfl_ge200;whg2wfl_lt120;whg2wfl_120b149;whg2wfl_150b199;whg2wfl_200b249;whg2wfl_250b299;whg2wfl_ge300;whg3pwfl_lt200;whg3pwfl_200b299;whg3pwfl_300b499;whg3pwfl_500b799;whg3pwfl_800b1499;whg3pwfl_ge1500
10101;Eisenstadt;4444;3909;9838;3740;10795;2988;221;501;30;43;141;119;7;116;64;120;94;340;269;490;563;480;479;225;181;231;143;263;215;565;112;309;517;1166;1214;665;232;135;94;3200;268;171;47;30;9;6;5;4;0;156;27;3;0;424;94;2361;149;1044;890;64;281;833;1006;531;273;5;16;73;70;36;21;18;38;88;142;162;53
10201;Rust;1624;1268;1589;1230;2026;1109;81;39;1;46;10;18;1;20;7;283;9;152;26;167;247;366;152;51;35;40;34;47;11;296;295;423;121;304;300;122;39;11;9;1188;29;7;0;1;2;3;0;0;0;38;0;0;0;347;9;473;360;184;607;420;150;185;186;104;64;4;11;35;23;5;3;5;7;10;10;7;0
10301;Breitenbrunn am Neusiedler See;1516;1067;1414;1049;2213;917;84;47;1;15;15;8;1;19;15;394;0;82;52;81;94;548;219;131;81;78;68;47;35;0;136;302;167;270;403;200;32;6;0;988;41;4;1;1;13;1;0;0;0;18;1;0;0;448;0;551;206;232;527;70;221;181;223;144;78;8;6;28;29;8;5;3;9;17;13;5;0
10302;Donnerskirchen;1033;897;1196;876;1447;781;59;36;0;12;11;9;0;26;9;75;15;74;37;97;122;171;135;102;41;37;39;34;15;129;70;62;111;273;311;148;33;10;15;836;32;4;0;0;4;0;0;0;0;21;0;0;0;121;15;505;105;195;228;54;171;172;219;116;49;2;5;21;20;8;3;4;1;11;18;2;0
10303;Großhöflein;1028;874;1137;864;1807;749;80;35;0;8;11;6;0;25;11;103;0;46;26;86;118;159;135;103;86;80;84;81;22;2;63;41;75;310;394;117;17;11;0;825;31;3;0;0;4;0;1;0;0;9;1;0;0;154;0;640;24;110;254;25;83;180;280;120;61;3;10;26;25;12;4;0;10;14;9;2;0
10304;Hornstein;2315;2149;2569;2121;3022;2022;54;44;1;8;15;19;1;67;5;71;8;94;147;252;345;554;315;107;85;107;91;73;88;57;207;314;341;610;587;169;51;28;8;2069;34;4;5;1;7;0;1;0;0;25;2;1;0;158;8;1038;305;192;780;425;463;411;405;220;98;2;10;23;11;5;3;6;4;12;12;6;4
10305;Klingenbach;575;527;680;521;837;489;8;23;1;4;7;3;0;6;7;27;0;62;56;74;83;81;52;55;28;26;20;24;12;2;14;24;43;190;220;71;8;5;0;496;21;2;0;1;1;0;0;0;0;6;0;0;0;48;0;302;38;122;113;28;77;141;142;66;35;0;2;4;2;0;0;2;0;6;12;3;0
10306;Leithaprodersdorf;584;498;560;490;779;463;21;6;0;4;6;5;0;20;7;52;0;16;17;37;75;81;64;67;37;60;49;41;40;0;19;15;25;112;251;96;45;21;0;482;5;1;0;0;2;0;0;0;0;7;1;0;0;86;0;333;11;111;129;9;29;89;141;115;80;0;1;1;12;3;4;0;0;2;4;0;0
10307;Mörbisch am See;1341;1048;1436;1009;2390;810;145;54;0;45;13;19;2;116;11;126;0;78;88;158;163;226;163;127;97;76;53;59;53;0;59;64;116;315;439;281;58;9;0;949;49;4;0;0;6;1;0;0;0;37;2;0;0;293;0;639;86;188;428;44;134;176;226;149;81;7;14;45;39;26;14;5;15;22;9;3;0
10308;Müllendorf;722;666;792;659;1010;630;12;17;0;3;5;5;1;22;4;22;1;76;37;61;84;103;57;61;52;43;49;40;58;1;12;13;81;208;271;82;23;31;1;640;14;2;0;0;2;1;0;0;0;4;3;0;0;55;1;473;26;79;144;22;103;184;186;89;46;0;2;6;0;3;1;0;1;9;5;2;0
