id;name;geb;gebmwhg;whg;wgeb;ntz;wgeb_1whg;wgeb_2whg;wgeb_3pwhg;wgeb_gem;geb_hotel;geb_buero;geb_handel;geb_verkehr;geb_indust;geb_kultur;geb_sonst;geb_unbekannt;bp_vor1919;bp_1919b1944;bp_1945b1960;bp_1961b1970;bp_1971b1980;bp_1981b1990;bp_1991b2000;bp_2001b2005;bp_2006b2010;bp_2011b2015;bp_2016b2020;bp_2021b2025;bp_unbekannt;gfl_lt50;gfl_50b74;gfl_75b99;gfl_100b149;gfl_150b249;gfl_250b499;gfl_500b999;gfl_ge1000;gfl_unbekannt;rwg_01b02;rwg_03b10;rwg_11b20;rwg_21p;rwg_gem;wgnn_01b02;wgnn_03b10;wgnn_11b20;wgnn_21p;wgnn_gem;nwg_01b02;nwg_03b10;nwg_11b20;nwg_21p;nwg_gem;nwg_unbekannt;nurhws;nurnws;hwsnws;ohnews;whg1wfl_lt60;whg1wfl_60b89;whg1wfl_90b119;whg1wfl_120b149;whg1wfl_150b199;whg1wfl_ge200;whg2wfl_lt120;whg2wfl_120b149;whg2wfl_150b199;whg2wfl_200b249;whg2wfl_250b299;whg2wfl_ge300;whg3pwfl_lt200;whg3pwfl_200b299;whg3pwfl_300b499;whg3pwfl_500b799;whg3pwfl_800b1499;whg3pwfl_ge1500
101;Eisenstadt(Stadt);4444;3909;9838;3740;10795;2988;221;501;30;43;141;119;7;116;64;120;94;340;269;490;563;480;479;225;181;231;143;263;215;565;112;309;517;1166;1214;665;232;135;94;3200;268;171;47;30;9;6;5;4;0;156;27;3;0;424;94;2361;149;1044;890;64;281;833;1006;531;273;5;16;73;70;36;21;18;38;88;142;162;53
102;Rust(Stadt);1624;1268;1589;1230;2026;1109;81;39;1;46;10;18;1;20;7;283;9;152;26;167;247;366;152;51;35;40;34;47;11;296;295;423;121;304;300;122;39;11;9;1188;29;7;0;1;2;3;0;0;0;38;0;0;0;347;9;473;360;184;607;420;150;185;186;104;64;4;11;35;23;5;3;5;7;10;10;7;0
103;Eisenstadt-Umgebung;25270;21751;27536;21418;36456;19537;1216;652;13;234;200;196;21;636;183;2313;69;1441;1189;2268;3031;4885;3377;2191;1577;1512;1249;1360;861;329;2081;2240;2871;6449;7872;2783;656;249;69;20657;531;88;13;13;96;11;8;1;0;313;23;3;0;3444;69;12590;2237;3799;6644;2144;3449;4545;5334;2758;1307;61;146;408;351;169;81;51;104;197;196;94;10
104;Güssing;14066;12456;15193;12225;19537;11174;650;374;27;106;123;130;9;304;160;981;28;1460;1107;1654;1612;2106;1649;1218;763;625;538;610;529;195;604;662;1179;3994;4952;2175;352;120;28;11783;324;21;5;27;41;20;4;0;0;212;28;1;2;1570;28;6884;1139;2845;3198;595;2250;2914;3128;1416;871;37;59;168;190;118;78;16;68;196;68;21;5
105;Jennersdorf;8847;7590;9786;7400;12934;6438;680;273;9;116;102;69;6;194;108;843;9;1623;518;700;803;1093;1167;855;488;403;307;384;483;23;485;333;600;2078;2864;2024;361;93;9;7065;230;20;0;9;53;18;3;2;0;178;15;0;0;1245;9;4564;586;1659;2038;387;1264;1704;1826;854;403;30;77;164;221;121;67;12;47;131;62;20;1
106;Mattersburg;20392;16752;22696;16500;31696;14619;1229;619;33;107;200;194;22;540;165;2619;45;1121;1301;2275;2699;3075;2408;2187;1183;1073;994;1106;751;219;2051;1055;1961;5602;6670;2253;493;262;45;15774;468;104;12;32;74;24;6;5;1;242;22;1;0;3582;45;10874;1231;3115;5172;905;2290;3574;4491;2206;1153;74;168;406;340;170;71;23;91;211;178;103;13
107;Neusiedl am See;30427;25663;34904;25127;48958;22158;1922;1013;34;553;288;349;31;868;300;2845;66;884;1482;2784;3733;4856;4137;3213;1824;1798;1925;2203;1424;164;1770;1427;2722;6997;11023;4507;1373;542;66;23948;784;145;33;32;132;37;11;3;2;514;40;1;1;4678;66;15178;2258;5564;7427;888;2811;5392;6839;3998;2230;58;166;439;628;381;250;65;149;338;302;135;24
108;Oberpullendorf;21772;18450;22279;18056;30919;16310;1289;432;25;163;224;217;21;536;224;2276;55;1950;1742;2318;2837;3549;2458;1698;1121;934;988;1121;865;191;1275;993;1726;5827;7886;3195;614;201;55;17531;368;31;3;24;68;24;6;0;1;378;28;2;0;3253;55;9690;1984;4582;5516;874;3025;4045;4699;2342;1325;57;137;422;377;198;98;15;79;212;87;36;3
109;Oberwart;27475;23534;31304;23021;41877;20623;1498;828;72;259;276;329;30;740;352;2420;48;2910;1923;3038;3571;4085;3243;2411;1473;1235;1123;1179;1153;131;1620;1258;2262;7272;9624;4137;909;345;48;22022;641;104;24;68;99;37;16;6;4;474;55;6;4;3867;48;14236;1740;4701;6798;1153;3561;5444;6224;2824;1417;76;145;499;433;242;103;40;134;319;193;113;29
201;Klagenfurt Stadt;22937;19942;67556;19010;76932;11866;2300;4772;72;206;623;519;44;1008;384;864;279;1670;2229;3374;2726;2758;2435;2339;1264;965;857;939;847;534;858;1839;3606;6110;5533;2784;1152;776;279;14033;3070;1002;318;64;133;248;71;63;8;766;199;15;4;2664;279;12153;415;5746;4623;515;1354;2680;4322;2091;904;250;454;830;489;186;91;306;621;1177;1348;949;371
202;Villach Stadt;14070;12126;41350;11540;46363;6606;1945;2953;36;251;284;339;28;441;181;870;136;1077;1209;2066;1759;1587;1606;1428;683;708;537;548;711;151;750;881;1987;3932;3689;1705;606;384;136;8475;1995;679;149;30;76;90;34;6;6;392;191;17;6;1788;136;7243;288;3860;2679;305;672;1420;2439;1283;487;165;390;705;477;147;61;142;479;773;840;574;145
203;Hermagor;9122;7294;11827;6874;16403;4705;1571;567;31;451;81;111;20;331;169;1073;12;1792;633;1099;1054;1128;1028;698;373;389;253;314;285;76;840;646;917;2696;2702;990;230;89;12;6175;494;37;3;31;101;30;2;1;0;345;93;3;2;1793;12;3924;552;1665;2981;431;712;856;1256;992;458;124;287;570;345;152;93;70;203;182;83;27;2
204;Klagenfurt Land;27407;23498;35341;22862;46020;18467;2862;1480;53;570;233;178;14;568;263;2659;60;2520;1242;2628;3146;3591;3862;2907;1700;1416;1334;1546;1226;289;1956;1871;3355;8645;8576;2289;444;211;60;21214;1213;170;23;51;115;62;9;3;2;602;55;1;1;3826;60;15322;1018;4920;6147;1008;2355;3786;5974;3723;1621;205;447;1002;791;300;117;142;330;478;352;154;24
205;Sankt Veit an der Glan;20335;17501;31268;16927;37969;12736;2486;1656;49;276;231;267;35;688;280;1275;356;3203;1296;2431;2174;2412;2478;1934;1006;955;683;646;485;632;1104;1400;2424;6037;6153;2015;582;264;356;15135;1358;207;29;46;87;51;7;4;3;516;76;3;1;2456;356;11261;640;3859;4575;844;1787;2621;3934;2363;1187;241;493;906;521;188;137;120;356;566;438;143;33
206;Spittal an der Drau;32233;26248;47221;24974;61515;17619;4836;2474;45;1316;337;416;65;830;385;3567;343;3795;1885;3858;4117;4588;3738;2980;1553;1428;1250;1307;1181;553;2598;2752;4296;9754;8485;2892;788;325;343;22293;1982;318;58;38;162;92;19;5;7;1155;130;9;1;5621;343;15703;1769;6030;8731;1149;2456;3386;5179;3625;1824;430;889;1643;1145;455;274;251;658;727;529;252;57
207;Villach Land;29974;24578;39440;23848;52946;17543;4429;1840;36;657;255;265;35;786;271;3635;222;2854;1679;3722;3729;3934;3586;2637;1669;1380;1302;1631;1184;667;2500;2413;3909;9350;8302;2489;534;255;222;21856;1585;164;20;32;116;59;9;3;4;677;69;4;0;5154;222;15288;1279;5642;7765;1104;2600;3702;5430;3320;1387;355;857;1649;1044;342;182;195;496;592;405;133;19
208;Völkermarkt;19721;15971;23205;15476;33814;12082;2511;835;48;527;177;216;26;578;252;2428;41;2131;964;2758;2539;2672;2624;1954;1004;842;672;771;609;181;1418;1379;2363;5906;6218;1733;428;235;41;14434;638;89;4;45;159;92;10;2;3;474;54;2;1;3673;41;10414;611;3128;5568;724;1913;2724;3423;2282;1016;153;389;856;674;296;143;68;226;285;189;66;1
209;Wolfsberg;20139;17137;27948;16621;39005;12441;3051;1097;32;316;219;275;26;584;207;1861;30;1807;822;2842;2666;2596;2437;2176;1112;958;794;1083;626;220;1354;1425;2358;5818;6496;1823;539;296;30;15369;783;217;15;31;123;71;11;0;1;466;66;4;0;2952;30;11360;568;3527;4684;648;1673;2704;3939;2498;979;274;479;1002;774;366;156;71;188;344;324;155;15
210;Feldkirchen;14024;11368;18784;10973;26300;8269;1794;874;36;396;119;175;18;368;138;1804;33;1427;508;1314;1549;1891;1880;1555;825;725;631;913;619;187;1160;1327;1947;4352;3614;1158;289;144;33;9981;716;74;22;31;82;54;4;4;5;356;57;3;1;2601;33;7107;712;2131;4074;538;1297;1727;2457;1575;675;154;319;626;408;187;100;104;250;242;191;66;21
