id;name;fl_lt45;fl_45b60;fl_60b75;fl_75b90;fl_90b120;fl_120b150;fl_150b200;fl_ge200;fl_ohne;wraum_1;wraum_2;wraum_3;wraum_4;wraum_5;wraum_ge6;wraum_unbekannt
10101;Eisenstadt;489;1209;1723;1812;2183;1243;624;342;213;430;645;2083;2554;1845;2068;213
10201;Rust;331;174;149;194;298;217;120;71;35;327;158;199;329;301;240;35
10301;Breitenbrunn am Neusiedler See;65;158;192;191;284;269;165;90;0;59;138;243;328;274;372;0
10302;Donnerskirchen;41;107;162;173;245;257;132;58;21;29;45;183;277;284;357;21
10303;Großhöflein;34;59;120;138;251;329;138;67;1;18;58;171;234;327;327;2
10304;Hornstein;279;315;356;326;514;433;230;105;11;50;137;371;529;570;901;11
10305;Klingenbach;16;50;80;106;176;147;67;37;1;6;27;114;197;174;161;1
10306;Leithaprodersdorf;6;30;25;28;107;151;127;86;0;7;12;39;80;150;271;1
10307;Mörbisch am See;62;101;162;196;300;317;200;97;1;31;56;183;279;290;596;1
10308;Müllendorf;8;42;78;102;220;195;95;47;5;11;16;76;168;184;332;5
10309;Neufeld an der Leitha;266;329;329;374;447;271;197;97;22;192;227;431;508;393;559;22
10310;Oggau am Neusiedler See;34;110;141;115;253;252;126;47;5;12;61;138;242;260;365;5
10311;Oslip;20;43;61;83;187;238;66;36;1;9;26;117;158;231;193;1
10312;Purbach am Neusiedler See;154;162;212;226;417;476;204;75;173;117;181;301;456;503;368;173
10313;Sankt Margarethen im Burgenland;76;104;148;138;399;445;192;77;7;33;103;251;320;338;534;7
10314;Schützen am Gebirge;15;36;57;73;161;197;120;71;2;7;46;90;154;185;248;2
10315;Siegendorf;69;121;122;194;423;406;206;85;4;47;90;202;413;422;452;4
10316;Steinbrunn;371;285;296;224;388;288;197;74;37;75;187;609;487;340;425;37
10317;Trausdorf an der Wulka;38;134;208;252;397;317;136;50;10;104;99;249;406;337;337;10
10318;Wimpassing an der Leitha;29;56;92;118;236;185;97;59;13;21;38;110;183;180;340;13
10319;Wulkaprodersdorf;10;30;50;105;218;329;151;66;8;3;22;122;187;276;349;8
10320;Loretto;37;43;53;38;70;82;33;12;0;11;34;57;95;62;109;0
10321;Stotzing;16;22;26;63;89;132;61;23;0;5;19;52;103;102;151;0
10322;Zillingtal;35;71;76;106;116;155;47;34;3;20;62;138;117;157;146;3
10323;Zagersdorf;4;20;40;70;149;149;93;30;3;7;8;39;97;163;241;3
10401;Bocksdorf;10;15;29;80;147;116;43;22;0;3;8;56;111;118;166;0
10402;Burgauberg-Neudauberg;15;48;50;67;181;208;95;57;0;14;40;100;154;199;214;0
10403;Eberau;26;47;60;96;128;159;77;28;6;32;25;83;132;131;218;6
