id;name;fl_lt45;fl_45b60;fl_60b75;fl_75b90;fl_90b120;fl_120b150;fl_150b200;fl_ge200;fl_ohne;wraum_1;wraum_2;wraum_3;wraum_4;wraum_5;wraum_ge6;wraum_unbekannt
101;Eisenstadt(Stadt);489;1209;1723;1812;2183;1243;624;342;213;430;645;2083;2554;1845;2068;213
102;Rust(Stadt);331;174;149;194;298;217;120;71;35;327;158;199;329;301;240;35
103;Eisenstadt-Umgebung;1685;2428;3086;3439;6047;6020;3080;1423;328;874;1692;4286;6018;6202;8134;330
104;Güssing;553;939;1562;2200;3750;3551;1599;965;74;319;649;2319;3634;3615;4582;75
105;Jennersdorf;418;635;1051;1410;2472;2271;1036;457;36;173;455;1500;2477;2337;2808;36
106;Mattersburg;919;1728;2447;3056;5279;5192;2462;1281;332;456;1302;3497;5231;5209;6669;332
107;Neusiedl am See;1448;2691;3397;4232;7588;8079;4742;2527;200;873;2310;4798;7749;7778;11196;200
108;Oberpullendorf;678;1476;2411;2699;5275;5454;2652;1470;164;374;1002;3420;5293;5335;6691;164
109;Oberwart;1500;2384;3525;3998;7797;7153;3186;1555;206;787;1622;4750;7367;7355;9217;206
201;Klagenfurt Stadt;8885;10548;12352;13048;11746;6488;2813;1148;528;5367;11401;17115;17056;8886;7203;528
202;Villach Stadt;4429;6791;8288;7487;7136;3891;1732;628;968;2450;5851;11284;11200;5336;4261;968
203;Hermagor;1122;1280;1787;1608;2195;1898;1279;583;75;359;1059;2230;2399;1831;3874;75
204;Klagenfurt Land;2030;3160;4560;4933;6993;7437;4192;1818;218;1088;2720;5581;7721;7004;11009;218
205;Sankt Veit an der Glan;2273;3662;5227;4862;5369;5100;2815;1429;531;1198;2827;5799;7397;5046;8470;531
206;Spittal an der Drau;3816;5314;7331;7072;8828;7327;4649;2261;623;1663;3799;8513;10289;7746;14588;623
207;Villach Land;2737;3837;5822;5691;7978;7178;4014;1668;515;1241;2830;6864;8472;7358;12160;515
208;Völkermarkt;1311;2057;3150;3180;4972;4549;2733;1188;65;531;1324;3289;4577;4272;9147;65
209;Wolfsberg;1755;2827;3929;4328;5540;5289;3013;1204;63;807;2285;5321;6436;5112;7924;63
210;Feldkirchen;1507;2152;2794;2734;3513;3216;1954;814;100;719;2104;3529;4147;3109;5076;100
301;Krems an der Donau(Stadt);2141;2967;3276;3213;3032;1426;712;435;75;968;2606;4369;4826;2337;2096;75
302;Sankt Pölten(Stadt);4031;5403;7105;6567;5551;3406;1688;759;69;1754;5073;8359;9578;5043;4703;69
303;Waidhofen an der Ybbs(Stadt);483;762;1110;1046;1248;948;601;429;11;317;512;1290;1642;1138;1728;11
304;Wiener Neustadt(Stadt);2735;4842;5883;5601;4426;2300;1137;559;70;930;4731;8222;7520;3332;2748;70
305;Amstetten;2496;5140;7354;8210;11603;11802;6902;4641;884;858;3274;7828;13143;11545;21499;885
306;Baden;6596;9667;13832;13453;17700;11826;6656;4066;1100;3366;6850;15247;21860;15629;20844;1100
307;Bruck an der Leitha;4120;7713;9880;9521;11624;8655;5040;3260;1057;2051;5556;11678;14726;10899;14903;1057
308;Gänserndorf;2272;4328;7883;8102;14159;12052;6204;3957;567;1132;2704;8134;14210;13544;19233;567
309;Gmünd;1476;2314;3444;3151;5195;4465;2151;1269;526;551;1556;4002;5515;4917;6924;526
310;Hollabrunn;1214;2472;4174;4307;7092;6163;3696;2508;228;457;1348;4352;7395;6801;11272;229
311;Horn;927;1443;2723;2790;4044;3628;2051;1507;223;501;999;2947;4383;3748;6535;223
312;Korneuburg;3310;5538;7407;7738;10860;9575;5588;3447;359;1693;3212;7963;12607;10910;17077;360
313;Krems(Land);1220;2294;3771;4393;7320;6649;3941;2463;265;571;1490;4298;6852;6912;11928;265
314;Lilienfeld;921;1657;2985;2255;3113;2497;1189;732;431;331;1114;2951;4114;2777;4062;431
315;Melk;1647;3268;5221;5711;8484;8554;4744;3208;557;734;2084;5508;9445;8488;14578;557
316;Mistelbach;1310;3416;5568;5871;9874;9294;5527;4052;273;621;1847;6119;10266;9651;16408;273
317;Mödling;5501;8796;11158;10967;13632;10200;5895;4332;636;2844;5951;12933;16492;13012;19249;636
318;Neunkirchen;4032;6405;9551;8352;11287;7929;4314;2579;908;1772;4514;10397;13450;10177;14139;908
319;Sankt Pölten(Land);3573;6108;9727;10363;14703;13672;8008;6283;598;1542;4297;11355;16417;13769;25055;600
320;Scheibbs;839;1742;2695;2844;4205;4348;2840;1844;273;333;1205;3057;4431;4088;8243;273
321;Tulln;5140;6198;8314;8964;12433;11355;6990;4669;532;2973;5188;10100;13846;12111;19845;532
322;Waidhofen an der Thaya;757;1413;2313;2241;3861;3195;1612;840;202;272;986;2970;3850;3343;4811;202
323;Wiener Neustadt(Land);2521;4409;6549;6335;10171;7982;4546;2488;567;1106;3043;7083;10842;9524;13403;567
325;Zwettl;1092;1715;2689;2830;5169;5008;2944;1906;476;473;1309;3541;4808;4858;8364;476
401;Stadt Linz;17901;26061;29304;24769;15205;5664;2270;1056;1;3039;36331;38536;27152;9494;7678;1
402;Stadt Steyr;3339;4825;4448;4282;3568;1686;1008;566;0;399;1286;3758;5406;6655;6218;0
403;Stadt Wels;3702;6502;6255;7565;5714;2922;1440;739;14;896;4198;5399;8371;5402;10573;14
404;Braunau;3200;5265;6741;6911;10507;9625;8387;4547;98;1285;3248;7238;10004;9842;23566;98
405;Eferding;913;1349;2007;2325;3166;3052;2481;1551;7;405;837;1926;3023;3078;7575;7
406;Freistadt;1483;2818;3829;3921;6261;6810;5350;2599;29;489;1888;4109;5933;5932;14720;29
407;Gmunden;5447;7233;9443;9443;11958;9132;5997;3098;183;2375;4857;10130;13296;11364;19729;183
408;Grieskirchen;1779;2665;3772;4041;5750;6205;5191;3058;51;608;1995;4130;5799;5733;14196;51
409;Kirchdorf;1915;3219;4397;4375;5814;5003;3821;2316;39;686;2126;4701;6614;5573;11160;39
410;Linz-Land;5540;9409;13279;14124;15155;11833;6674;3178;399;2464;6784;12665;19101;14948;23230;399
411;Perg;1290;3000;4334;4459;6361;6360;4728;2908;208;455;1533;4035;6344;6138;14935;208
412;Ried;1983;3287;4012;4006;5857;5781;4571;2889;45;819;2219;4055;5617;5751;13925;45
413;Rohrbach;1278;2100;3241;3234;5550;6098;4865;2692;22;521;1486;3352;4921;5306;13472;22
414;Schärding;1552;2526;3153;3296;5369;5260;4459;3148;92;526;1556;3413;4894;4938;13436;92
415;Steyr-Land;1462;2636;3979;4239;6777;6150;3861;1994;59;588;1530;3882;6315;6249;12534;59
416;Urfahr-Umgebung;1989;3560;5383;6053;9088;8966;6283;3398;63;834;2188;5376;8347;8692;19283;63
417;Vöcklabruck;5648;8836;10457;10321;14184;12382;10023;5771;159;2607;5744;11264;15335;13787;28885;159
418;Wels-Land;1873;3133;4561;5052;7065;7374;5097;2730;111;853;1665;4361;7009;7038;15959;111
501;Salzburg(Stadt);17921;19660;17701;15266;12024;5069;2541;1362;301;11266;19861;24447;20252;9015;6703;301
502;Hallein;3008;5047;5195;4820;5977;3813;2696;1264;119;1425;3668;6263;7664;5278;7522;119
503;Salzburg-Umgebung;5921;10392;12135;12205;16899;11630;8353;4325;496;3299;8063;13995;17844;15054;23605;496
504;St. Johann im Pongau;7537;8685;8264;7350;8175;4899;3378;1680;898;3646;7317;10908;10734;7332;10031;898
505;Tamsweg;902;1251;1367;1225;1933;1986;1278;830;81;317;920;1542;1882;1856;4255;81
506;Zell am See;7028;9145;8951;7854;9860;6166;4374;2484;559;3833;7115;10921;11232;8752;14009;559
601;Graz(Stadt);39081;39789;38002;29951;25859;11272;5614;2947;717;16374;50287;55141;40221;17235;13256;718
603;Deutschlandsberg;2125;3423;4365;4127;6158;6043;3872;2357;308;845;2352;5150;6536;5990;11596;309
606;Graz-Umgebung;4365;8648;11435;11834;16928;14804;8728;4467;446;1676;5856;13228;17596;16184;26669;446
610;Leibnitz;2741;5015;6315;6258;8334;8134;5296;3271;218;1182;3583;7747;9289;8150;15413;218
611;Leoben;4812;7031;7916;6640;6051;3596;2071;1160;132;1452;6024;10520;9324;5053;6904;132
