id,name,percent,abs
10101,Eisenstadt,44.38,1890
10201,Rust,24.71,295
10301,Breitenbrunn am Neusiedler See,31.52,353
10302,Donnerskirchen,27.43,271
10303,Großhöflein,42.48,387
10304,Hornstein,24.47,522
10305,Klingenbach,22.45,123
10306,Leithaprodersdorf,34.05,175
10307,Mörbisch am See,41.26,486
10308,Müllendorf,28.85,193
10309,Neufeld an der Leitha,30.14,431
10310,Oggau am Neusiedler See,31.77,265
10311,Oslip,20.18,132
10312,Purbach am Neusiedler See,35.76,526
10313,Sankt Margarethen im Burgenland,28.49,408
10314,Schützen am Gebirge,32.84,224
10315,Siegendorf,30.98,416
10316,Steinbrunn,19.26,370
10317,Trausdorf an der Wulka,16.43,229
10318,Wimpassing an der Leitha,34.39,250
10319,Wulkaprodersdorf,25.8,226
10320,Loretto,22.51,77
10321,Stotzing,30.25,108
10322,Zillingtal,16.64,89
10323,Zagersdorf,28.15,134
10401,Bocksdorf,21.14,85
10402,Burgauberg-Neudauberg,34.33,206
10403,Eberau,19.19,114
10404,Gerersdorf-Sulz,20.76,109
10405,Güssing,20.58,303
10406,Güttenbach,14.08,60
10407,Heiligenbrunn,14.66,62
10408,Kukmirn,22.54,204
10409,Neuberg im Burgenland,15.7,76
10410,Neustift bei Güssing,13.58,36
10411,Olbendorf,17.75,136
10412,Ollersdorf im Burgenland,22.45,108
10413,Sankt Michael im Burgenland,23.85,125
10414,Stegersbach,29.5,374
10415,Stinatz,23.12,138
10416,Strem,32.68,199
10417,Tobaj,24.81,166
10418,Hackerberg,20.21,38
10419,Wörterberg,17.87,42
10420,Großmürbisch,8.22,12
10421,Inzenhof,10.36,20
10422,Kleinmürbisch,21.49,26
10423,Tschanigraben,12,6
10424,Heugraben,17.69,23
10425,Rohr im Burgenland,20.19,42
10426,Bildein,10,18
10427,Rauchwart,25.78,74
10428,Moschendorf,20,40
10501,Deutsch Kaltenbrunn,24.97,192
10502,Eltendorf,20.44,93
10503,Heiligenkreuz im Lafnitztal,19.16,123
10504,Jennersdorf,26.43,463
10505,Minihof-Liebau,20.79,100
