id,name,percent,abs
10101,Eisenstadt,42.96,3209
10201,Rust,35.91,311
10301,Breitenbrunn am Neusiedler See,41.13,392
10302,Donnerskirchen,38.52,339
10303,Großhöflein,31.98,299
10304,Hornstein,36.89,570
10305,Klingenbach,38.07,217
10306,Leithaprodersdorf,21.66,99
10307,Mörbisch am See,32.63,327
10308,Müllendorf,27.29,170
10309,Neufeld an der Leitha,37.92,631
10310,Oggau am Neusiedler See,36.35,293
10311,Oslip,32.94,194
10312,Purbach am Neusiedler See,33.43,463
10313,Sankt Margarethen im Burgenland,32.56,394
10314,Schützen am Gebirge,26.41,159
10315,Siegendorf,30.75,433
10316,Steinbrunn,32.22,415
10317,Trausdorf an der Wulka,36.65,376
10318,Wimpassing an der Leitha,32.21,238
10319,Wulkaprodersdorf,26.38,211
10320,Loretto,39.36,98
10321,Stotzing,32.67,115
10322,Zillingtal,35.32,166
10323,Zagersdorf,28.72,141
10401,Bocksdorf,34.68,129
10402,Burgauberg-Neudauberg,31.06,182
10403,Eberau,34.95,144
10404,Gerersdorf-Sulz,30.36,136
10405,Güssing,39.04,648
10406,Güttenbach,29.25,105
10407,Heiligenbrunn,31.1,102
10408,Kukmirn,30.67,257
10409,Neuberg im Burgenland,34.73,149
10410,Neustift bei Güssing,40.74,88
10411,Olbendorf,33.07,212
10412,Ollersdorf im Burgenland,35.52,157
10413,Sankt Michael im Burgenland,36.48,174
10414,Stegersbach,40.41,516
10415,Stinatz,28.18,135
10416,Strem,37.47,154
10417,Tobaj,28.94,169
10418,Hackerberg,28.31,47
10419,Wörterberg,29.17,56
10420,Großmürbisch,40.87,47
10421,Inzenhof,36.05,53
10422,Kleinmürbisch,32.38,34
10423,Tschanigraben,50,18
10424,Heugraben,33.33,33
10425,Rohr im Burgenland,33.33,56
10426,Bildein,32.62,46
10427,Rauchwart,37.44,82
10428,Moschendorf,25.49,39
10501,Deutsch Kaltenbrunn,30.62,226
10502,Eltendorf,32.16,128
10503,Heiligenkreuz im Lafnitztal,33.04,191
10504,Jennersdorf,37.08,716
10505,Minihof-Liebau,27.85,122
10506,Mogersdorf,33.58,179
