id,name,percent,abs
10101,Eisenstadt,67.64,2881
10201,Rust,79.73,952
10301,Breitenbrunn am Neusiedler See,80.54,902
10302,Donnerskirchen,80.97,800
10303,Großhöflein,79.8,727
10304,Hornstein,88.84,1895
10305,Klingenbach,87.59,480
10306,Leithaprodersdorf,85.8,441
10307,Mörbisch am See,65.7,774
10308,Müllendorf,88.64,593
10309,Neufeld an der Leitha,82.52,1180
10310,Oggau am Neusiedler See,77.94,650
10311,Oslip,87.16,570
10312,Purbach am Neusiedler See,76.55,1126
10313,Sankt Margarethen im Burgenland,81.22,1163
10314,Schützen am Gebirge,82.4,562
10315,Siegendorf,81.53,1095
10316,Steinbrunn,93.96,1805
10317,Trausdorf an der Wulka,90.03,1255
10318,Wimpassing an der Leitha,84.73,616
10319,Wulkaprodersdorf,84.02,736
10320,Loretto,88.01,301
10321,Stotzing,85.43,305
10322,Zillingtal,87.29,467
10323,Zagersdorf,85.29,406
10401,Bocksdorf,82.09,330
10402,Burgauberg-Neudauberg,74.33,446
10403,Eberau,86.53,514
10404,Gerersdorf-Sulz,88.76,466
10405,Güssing,75,1104
10406,Güttenbach,89.67,382
10407,Heiligenbrunn,84.63,358
10408,Kukmirn,83.98,760
10409,Neuberg im Burgenland,86.98,421
10410,Neustift bei Güssing,88.3,234
10411,Olbendorf,89.82,688
10412,Ollersdorf im Burgenland,82.74,398
10413,Sankt Michael im Burgenland,81.68,428
10414,Stegersbach,75.32,955
10415,Stinatz,90.45,540
10416,Strem,88.34,538
10417,Tobaj,82.81,554
10418,Hackerberg,90.43,170
10419,Wörterberg,91.49,215
10420,Großmürbisch,93.15,136
10421,Inzenhof,87.05,168
10422,Kleinmürbisch,91.74,111
10423,Tschanigraben,96,48
10424,Heugraben,91.54,119
10425,Rohr im Burgenland,87.02,181
10426,Bildein,93.89,169
10427,Rauchwart,88.15,253
10428,Moschendorf,89.5,179
10501,Deutsch Kaltenbrunn,79.19,609
10502,Eltendorf,82.2,374
10503,Heiligenkreuz im Lafnitztal,78.19,502
10504,Jennersdorf,73.8,1293
10505,Minihof-Liebau,79.42,382
10506,Mogersdorf,83.84,467
10507,Neuhaus am Klausenbach,85.23,375
10508,Rudersdorf,74.43,658
10509,Sankt Martin an der Raab,84.04,816
10510,Weichselbaum,81.75,327
10511,Königsdorf,77.42,264
10512,Mühlgraben,85.71,156
10601,Draßburg,86.5,506
10602,Forchtenstein,80.18,1060
10603,Hirm,83.49,354
10604,Loipersbach im Burgenland,77.62,437
10605,Marz,74.41,689
10606,Mattersburg,75.14,1962
10607,Neudörfl,79.08,1406
10608,Pöttelsdorf,59.17,213
10609,Pöttsching,84.76,1313
10610,Rohrbach bei Mattersburg,80.39,857
10611,Bad Sauerbrunn,81.77,794
10612,Schattendorf,87.7,1034
10613,Sieggraben,75.86,421
10614,Sigleß,87.35,497
10615,Wiesen,83.54,1091
10616,Antau,78.5,314
10617,Baumgarten,85.19,374
10618,Zemendorf-Stöttera,81.06,518
10619,Krensdorf,87.05,242
10701,Andau,82.79,895
10702,Apetlon,78.14,790
10703,Bruckneudorf,76.73,643
10704,Deutsch Jahrndorf,89.3,292
10705,Frauenkirchen,75.88,1051
10706,Gattendorf,81.9,516
10707,Gols,75.79,1312
10708,Halbturn,86.65,701
10709,Illmitz,80.19,943
10710,Jois,76.25,581
10711,Kittsee,81.48,1056
10712,Mönchhof,78.1,781
10713,Neusiedl am See,70.49,2212
10714,Nickelsdorf,87.7,784
10715,Pama,78.06,402
10716,Pamhagen,71.57,657
10717,Parndorf,79.67,1493
10718,Podersdorf am See,71.14,843
10719,Sankt Andrä am Zicksee,82.57,616
10720,Tadten,88.29,505
10721,Wallern im Burgenland,75.1,579
10722,Weiden am See,80.58,1361
10723,Winden am See,80.53,521
10724,Zurndorf,84.4,860
10725,Neudorf,83.66,338
10726,Potzneusiedl,83.73,283
10727,Edelstal,86.79,368
10801,Deutschkreutz,79.92,1230
10802,Draßmarkt,79.78,501
10803,Frankenau-Unterpullendorf,86.94,579
10804,Großwarasdorf,85.61,809
10805,Horitschon,73.2,609
10806,Kaisersdorf,90,360
10807,Kobersdorf,81.09,746
10808,Lackenbach,82.59,465
10809,Lockenhaus,84.75,984
10810,Lutzmannsburg,74.49,438
10811,Mannersdorf an der Rabnitz,86.79,854
10812,Markt Sankt Martin,80.9,542
10813,Neckenmarkt,76.02,596
10814,Neutal,74.66,380
10815,Nikitsch,90.15,869
10816,Oberpullendorf,67.38,822
10817,Pilgersdorf,88.69,753
10818,Piringsdorf,78.46,306
10819,Raiding,79.85,313
10820,Ritzing,91.04,518
10821,Steinberg-Dörfl,85.1,611
10822,Stoob,77.85,485
10823,Weppersdorf,81.23,701
10824,Lackendorf,81.25,234
10825,Unterfrauenhaid,83.66,256
10826,Unterrabnitz-Schwendgraben,87.13,264
10827,Weingraben,87.63,170
10828,Oberloisdorf,92.88,365
10901,Bad Tatzmannsdorf,71.36,466
10902,Bernstein,80.77,840
10903,Deutsch Schützen-Eisenberg,86.27,572
10904,Grafenschachen,76.05,397
10905,Großpetersdorf,79.78,1278
10906,Hannersdorf,89.09,441
10907,Kemeten,86.76,675
10908,Kohfidisch,82.09,628
10909,Litzelsdorf,85.33,512
10910,Loipersdorf-Kitzladen,74.58,402
10911,Mariasdorf,81.25,442
10912,Markt Allhau,76.74,673
10913,Markt Neuhodis,89.25,357
10914,Mischendorf,90.54,699
10915,Oberdorf im Burgenland,84.57,455
10916,Oberschützen,77.79,823
10917,Oberwart,69.12,1815
10918,Pinkafeld,76.53,1559
10919,Rechnitz,85.56,1327
10920,Riedlingsdorf,84.13,636
10921,Rotenturm an der Pinka,83.4,583
10922,Schachendorf,88.82,413
10923,Stadtschlaining,83.4,844
10924,Unterkohlstätten,81.18,371
10925,Unterwart,84.29,472
10926,Weiden bei Rechnitz,89.44,483
10927,Wiesfleck,81.25,416
10928,Wolfau,78.11,503
10929,Neustift an der Lafnitz,72.04,201
10930,Jabing,90.71,332
10931,Badersdorf,88.36,129
10932,Schandorf,87.57,155
20101,Klagenfurt am Wörthersee,53.06,11478
20201,Villach,48.73,6421
20302,Dellach,66.82,300
20305,Hermagor-Pressegger See,49.42,1537
20306,Kirchbach,59.63,579
20307,Kötschach-Mauthen,65.46,902
20316,St. Stefan im Gailtal,69.02,519
20320,Gitschtal,57.41,310
20321,Lesachtal,59.66,349
20402,Ebenthal in Kärnten,73.01,1983
20403,Feistritz im Rosental,77.33,829
20405,Ferlach,71.98,2163
20409,Grafenstein,74.91,863
20412,Keutschach am See,70.8,725
20414,Köttmannsdorf,72.09,904
20415,Krumpendorf am Wörthersee,62.02,815
20416,Ludmannsdorf,75.93,590
20417,Maria Rain,79.8,798
20418,Maria Saal,76.14,1184
20419,Maria Wörth,62.86,572
20421,Moosburg,73.15,1218
20424,Pörtschach am Wörther See,57.84,756
20425,Poggersdorf,73.77,956
20428,St. Margareten im Rosental,75.05,370
20432,Schiefling am Wörthersee,72.15,855
20435,Techelsberg am Wörther See,87.34,890
20441,Zell,74.05,234
20442,Magdalensberg,78.65,1076
20501,Althofen,53.83,626
20502,Brückl,66.74,636
20503,Deutsch-Griffen,68.89,248
20504,Eberstein,72.33,379
20505,Friesach,65.17,1130
20506,Glödnitz,82.24,440
20508,Gurk,60.1,250
20509,Guttaring,74.86,411
20511,Hüttenberg,67.65,548
20512,Kappel am Krappfeld,71.86,480
20513,Klein St. Paul,56.33,374
20515,Liebenfels,70.08,869
20518,Metnitz,81.82,666
20519,Micheldorf,60.87,224
20520,Mölbling,65.74,355
20523,St. Georgen am Längsee,71.36,1004
20527,St. Veit an der Glan,48.27,1461
20530,Straßburg,67.14,476
20531,Weitensfeld im Gurktal,73.45,628
20534,Frauenstein,77.99,1077
20601,Bad Kleinkirchheim,43.01,477
20602,Baldramsdorf,70.85,474
20603,Berg im Drautal,62.13,315
20604,Dellach im Drautal,57.8,341
20605,Großkirchheim,72.29,433
20607,Flattach,64.63,349
20608,Gmünd in Kärnten,55.68,554
20609,Greifenburg,57.62,397
20610,Heiligenblut am Großglockner,55.23,280
20611,Irschen,66.89,497
20613,Kleblach-Lind,69.78,291
20616,Lendorf,63.68,398
20618,Mallnitz,48.12,205
20619,Malta,66.75,520
20620,Millstatt am See,59.36,894
20622,Mörtschach,74.03,285
20624,Mühldorf,61.65,209
20625,Oberdrauburg,53.38,237
20627,Obervellach,61.69,533
20630,Radenthein,58.96,1359
20631,Rangersdorf,64.77,432
20632,Rennweg am Katschberg,49.01,372
20633,Sachsenburg,61.82,285
20634,Seeboden am Millstätter See,59.9,1507
20635,Spittal an der Drau,54.28,1945
20636,Stall,63.55,347
20637,Steinfeld,61.76,407
20638,Trebesing,61.71,245
20639,Weißensee,41.21,190
20640,Winklern,55.18,245
20642,Krems in Kärnten,74.43,591
20643,Lurnfeld,65.45,627
20644,Reißeck,70.22,679
20701,Afritz am See,56.32,312
20702,Arnoldstein,57.28,1302
20703,Arriach,77.2,474
20705,Bad Bleiberg,58.5,540
20707,Feistritz an der Gail,54.66,129
20708,Feld am See,57.52,287
20710,Ferndorf,65.78,517
20711,Finkenstein am Faaker See,65.93,2533
20712,Fresach,75.54,383
20713,Hohenthurn,63.37,218
20719,Nötsch im Gailtal,64.61,586
20720,Paternion,63.47,1289
20721,Rosegg,71.27,521
20722,St. Jakob im Rosental,69.2,1209
20723,Stockenboi,70.36,451
20724,Treffen am Ossiacher See,63.69,1319
20725,Velden am Wörther See,62.71,2518
20726,Weißenstein,65.31,753
20727,Wernberg,76.19,1606
20801,Bleiburg,70.08,1061
20802,Diex,81.53,331
20803,Eberndorf,69.27,1700
20804,Eisenkappel-Vellach,65.93,627
20805,Feistritz ob Bleiburg,71.57,662
20806,Gallizien,80.31,612
20807,Globasnitz,75.97,490
20808,Griffen,67.75,872
20810,Neuhaus,82.84,338
20812,Ruden,74.67,451
20813,St. Kanzian am Klopeiner See,60.12,1354
20815,Sittersdorf,72.14,655
20817,Völkermarkt,64.92,2535
20901,Bad St. Leonhard im Lavanttal,68.82,1106
20905,Frantschach-St. Gertraud,59.33,512
20909,Lavamünd,59.87,667
20911,Preitenegg,83.97,351
20912,Reichenfels,73.79,504
20913,St. Andrä,69.28,2418
20914,St. Georgen im Lavanttal,69.9,476
20918,St. Paul im Lavanttal,66.06,728
20923,Wolfsberg,64.41,5204
21001,Albeck,78.42,476
21002,Feldkirchen in Kärnten,63.21,3094
21003,Glanegg,71.93,469
21004,Gnesau,69.87,320
21005,Himmelberg,73.24,698
21006,Ossiach,55.51,247
21007,Reichenau,69.09,809
21008,St. Urban,67.6,388
21009,Steindorf am Ossiacher See,60.27,974
21010,Steuerberg,68.33,412
30101,Krems an der Donau,54.18,3380
30201,St. Pölten,62.25,8430
30301,Waidhofen an der Ybbs,51.85,1711
30401,Wiener Neustadt,61.14,6351
30501,Allhartsberg,66.07,446
30502,Amstetten,49.64,3163
30503,Ardagger,56.05,602
30504,Aschbach-Markt,60.95,679
30506,Behamberg,54.02,591
30507,Biberbach,60.18,396
30508,Ennsdorf,59.74,595
30509,Ernsthofen,61.99,473
30510,Ertl,55.53,216
30511,Euratsfeld,56.41,471
30512,Ferschnitz,65.32,403
30514,Haag,54.47,913
30515,Haidershofen,62.15,729
30516,Hollenstein an der Ybbs,63.66,431
30517,Kematen an der Ybbs,49.15,378
30520,Neuhofen an der Ybbs,65.22,587
30521,Neustadtl an der Donau,67.54,489
30522,Oed-Oehling,66.56,418
30524,Opponitz,62.21,191
30526,St. Georgen am Reith,76.82,169
30527,St. Georgen am Ybbsfelde,58.55,551
30529,St. Pantaleon-Erla,67.74,630
30530,St. Peter in der Au,61.02,911
30531,St. Valentin,50.96,1408
30532,Seitenstetten,71.62,752
30533,Sonntagberg,56.59,640
30534,Strengberg,52.87,359
30536,Viehdorf,68.73,277
30538,Wallsee-Sindelburg,62.3,423
30539,Weistrach,57.23,396
30541,Winklarn,71,431
30542,Wolfsbach,70.72,459
30543,Ybbsitz,54.3,657
30544,Zeillern,65.68,356
30601,Alland,75.43,869
30602,Altenmarkt an der Triesting,76.52,707
30603,Bad Vöslau,67.63,2309
30604,Baden,60.02,3631
30605,Berndorf,64.69,1755
30607,Ebreichsdorf,79.4,3588
30608,Enzesfeld-Lindabrunn,69.17,1178
30609,Furth an der Triesting,77.45,292
30612,Günselsdorf,76.38,401
30613,Heiligenkreuz,80.32,506
30614,Hernstein,80.53,612
30615,Hirtenberg,59.89,339
30616,Klausen-Leopoldsdorf,72.63,483
30618,Kottingbrunn,81.78,2284
30620,Leobersdorf,63.19,879
30621,Mitterndorf an der Fischa,83.58,799
30623,Oberwaltersdorf,83.79,1535
