id,name,percent,abs
10101,Eisenstadt,18.31,2951
10201,Rust,21.73,420
10301,Breitenbrunn am Neusiedler See,23.83,463
10302,Donnerskirchen,24.46,460
10303,Großhöflein,22.18,461
10304,Hornstein,20.94,696
10305,Klingenbach,22.19,267
10306,Leithaprodersdorf,18.6,234
10307,Mörbisch am See,24.85,542
10308,Müllendorf,18.87,287
10309,Neufeld an der Leitha,17.89,643
10310,Oggau am Neusiedler See,24.54,415
10311,Oslip,25.08,327
10312,Purbach am Neusiedler See,22.8,696
10313,Sankt Margarethen im Burgenland,22.5,612
10314,Schützen am Gebirge,21.75,315
10315,Siegendorf,19.3,623
10316,Steinbrunn,17.09,512
10317,Trausdorf an der Wulka,22.12,474
10318,Wimpassing an der Leitha,16.59,286
10319,Wulkaprodersdorf,20.74,402
10320,Loretto,22.88,119
10321,Stotzing,19.37,159
10322,Zillingtal,23.16,242
10323,Zagersdorf,21.54,246
10401,Bocksdorf,22.03,174
10402,Burgauberg-Neudauberg,21.62,310
10403,Eberau,28.68,261
10404,Gerersdorf-Sulz,26.56,273
10405,Güssing,23.15,815
10406,Güttenbach,27.4,231
10407,Heiligenbrunn,29.58,210
10408,Kukmirn,25.09,498
10409,Neuberg im Burgenland,26.09,246
10410,Neustift bei Güssing,31.31,139
10411,Olbendorf,27.35,402
10412,Ollersdorf im Burgenland,25.55,244
10413,Sankt Michael im Burgenland,24.73,249
10414,Stegersbach,21.23,582
10415,Stinatz,25.82,308
10416,Strem,24.3,227
10417,Tobaj,25.35,347
10418,Hackerberg,22.45,86
10419,Wörterberg,22.49,121
10420,Großmürbisch,35.78,83
10421,Inzenhof,26.49,89
10422,Kleinmürbisch,25.99,59
10423,Tschanigraben,37.5,24
10424,Heugraben,26.61,62
10425,Rohr im Burgenland,27.37,101
10426,Bildein,23.58,83
10427,Rauchwart,27.82,133
10428,Moschendorf,29.12,106
10501,Deutsch Kaltenbrunn,24.62,426
10502,Eltendorf,27.22,245
10503,Heiligenkreuz im Lafnitztal,24.24,301
10504,Jennersdorf,24.77,1030
10505,Minihof-Liebau,24.98,260
10506,Mogersdorf,22.64,261
10507,Neuhaus am Klausenbach,25.26,222
10508,Rudersdorf,22.27,499
10509,Sankt Martin an der Raab,24.88,483
10510,Weichselbaum,29.07,207
10511,Königsdorf,22.58,177
10512,Mühlgraben,31.47,118
10601,Draßburg,21.01,259
10602,Forchtenstein,22.68,635
10603,Hirm,19.4,214
10604,Loipersbach im Burgenland,20.51,249
