id,name,percent,abs
10101,Eisenstadt,9.91,"1,598"
10201,Rust,15.52,300
10301,Breitenbrunn am Neusiedler See,16.62,323
10302,Donnerskirchen,10.21,192
10303,Großhöflein,8.57,178
10304,Hornstein,11.10,369
10305,Klingenbach,9.48,114
10306,Leithaprodersdorf,8.82,111
10307,Mörbisch am See,13.48,294
10308,Müllendorf,9.01,137
10309,Neufeld an der Leitha,11.32,407
10310,Oggau am Neusiedler See,12.54,212
10311,Oslip,10.58,138
10312,Purbach am Neusiedler See,11.10,339
10313,Sankt Margarethen im Burgenland,12.87,350
10314,Schützen am Gebirge,11.46,166
10315,Siegendorf,11.93,385
10316,Steinbrunn,10.61,318
10317,Trausdorf an der Wulka,12.65,271
10318,Wimpassing an der Leitha,7.95,137
10319,Wulkaprodersdorf,10.68,207
10320,Loretto,11.54,60
10321,Stotzing,10.23,84
10322,Zillingtal,7.46,78
10323,Zagersdorf,11.82,135
10401,Bocksdorf,13.16,104
10402,Burgauberg-Neudauberg,9.34,134
10403,Eberau,15.71,143
10404,Gerersdorf-Sulz,13.62,140
10405,Güssing,15.60,549
10406,Güttenbach,15.07,127
10407,Heiligenbrunn,14.65,104
10408,Kukmirn,13,258
10409,Neuberg im Burgenland,10.60,100
10410,Neustift bei Güssing,16.44,73
10411,Olbendorf,11.77,173
10412,Ollersdorf im Burgenland,11.31,108
10413,Sankt Michael im Burgenland,13.41,135
10414,Stegersbach,11.64,319
10415,Stinatz,9.56,114
10416,Strem,21.20,198
10417,Tobaj,8.25,113
10418,Hackerberg,8.36,32
10419,Wörterberg,8.74,47
10420,Großmürbisch,12.93,30
10421,Inzenhof,10.42,35
10422,Kleinmürbisch,12.78,29
10423,Tschanigraben,10.94,7
10424,Heugraben,13.73,32
10425,Rohr im Burgenland,11.65,43
10426,Bildein,13.07,46
10427,Rauchwart,9.41,45
10428,Moschendorf,15.11,55
10501,Deutsch Kaltenbrunn,10.81,187
10502,Eltendorf,13.78,124
10503,Heiligenkreuz im Lafnitztal,13.45,167
10504,Jennersdorf,11.64,484
10505,Minihof-Liebau,10.37,108
10506,Mogersdorf,10.75,124
10507,Neuhaus am Klausenbach,13.99,123
10508,Rudersdorf,11.24,252
10509,Sankt Martin an der Raab,12.57,244
10510,Weichselbaum,11.94,85
10511,Königsdorf,12.76,100
10512,Mühlgraben,7.73,29
10601,Draßburg,13.38,165
10602,Forchtenstein,10.89,305
10603,Hirm,8.16,90
10604,Loipersbach im Burgenland,11.37,138
10605,Marz,9.11,189
10606,Mattersburg,9.68,731
10607,Neudörfl,10.05,504
10608,Pöttelsdorf,11.14,84
10609,Pöttsching,10.79,331
10610,Rohrbach bei Mattersburg,10.77,289
10611,Bad Sauerbrunn,11.76,277
10612,Schattendorf,10,236
10613,Sieggraben,9.90,124
10614,Sigleß,13.27,157
10615,Wiesen,12.07,337
10616,Antau,9.57,81
10617,Baumgarten,13.77,127
10618,Zemendorf-Stöttera,9.85,130
10619,Krensdorf,8.65,54
10701,Andau,13.72,311
10702,Apetlon,13.61,238
10703,Bruckneudorf,6.37,198
10704,Deutsch Jahrndorf,13.06,84
10705,Frauenkirchen,12.28,364
10706,Gattendorf,8.83,134
10707,Gols,10.34,407
10708,Halbturn,13.84,259
10709,Illmitz,12.52,292
10710,Jois,9.37,155
10711,Kittsee,8.13,309
10712,Mönchhof,11.05,242
10713,Neusiedl am See,7.99,710
10714,Nickelsdorf,10.58,195
10715,Pama,9.35,120
10716,Pamhagen,12.23,180
10717,Parndorf,6.23,334
10718,Podersdorf am See,12.91,277
10719,Sankt Andrä am Zicksee,12.46,173
10720,Tadten,14.19,162
10721,Wallern im Burgenland,12.32,200
10722,Weiden am See,10.90,283
10723,Winden am See,10.04,139
10724,Zurndorf,12.67,294
10725,Neudorf,8.40,72
10726,Potzneusiedl,10.31,70
10727,Edelstal,9.71,80
10801,Deutschkreutz,12.45,391
10802,Draßmarkt,12.38,171
10803,Frankenau-Unterpullendorf,13.97,152
10804,Großwarasdorf,14.76,201
10805,Horitschon,9.68,175
10806,Kaisersdorf,12.61,75
10807,Kobersdorf,10.49,197
10808,Lackenbach,13.35,155
10809,Lockenhaus,11.10,230
10810,Lutzmannsburg,13.06,110
10811,Mannersdorf an der Rabnitz,12.23,218
10812,Markt Sankt Martin,11.40,146
10813,Neckenmarkt,12.72,213
10814,Neutal,12.89,147
10815,Nikitsch,19.29,268
10816,Oberpullendorf,11.21,374
10817,Pilgersdorf,9.94,156
10818,Piringsdorf,11.29,93
10819,Raiding,20.09,184
10820,Ritzing,15.48,141
10821,Steinberg-Dörfl,11.62,152
10822,Stoob,9.90,134
10823,Weppersdorf,12.09,231
10824,Lackendorf,9.43,58
10825,Unterfrauenhaid,8.22,53
10826,Unterrabnitz-Schwendgraben,8.78,54
10827,Weingraben,13.79,48
10828,Oberloisdorf,9.40,75
10901,Bad Tatzmannsdorf,12.79,212
10902,Bernstein,13.94,301
10903,Deutsch Schützen-Eisenberg,16.25,175
10904,Grafenschachen,8.54,107
10905,Großpetersdorf,12.04,433
10906,Hannersdorf,13.92,103
10907,Kemeten,8.97,138
