id,name,total_pop
10101,Eisenstadt,16118
10201,Rust,1933
10301,Breitenbrunn am Neusiedler See,1943
10302,Donnerskirchen,1881
10303,Großhöflein,2078
10304,Hornstein,3323
10305,Klingenbach,1203
10306,Leithaprodersdorf,1258
10307,Mörbisch am See,2181
10308,Müllendorf,1521
10309,Neufeld an der Leitha,3594
10310,Oggau am Neusiedler See,1691
10311,Oslip,1304
10312,Purbach am Neusiedler See,3053
10313,Sankt Margarethen im Burgenland,2720
10314,Schützen am Gebirge,1448
10315,Siegendorf,3228
10316,Steinbrunn,2996
10317,Trausdorf an der Wulka,2143
10318,Wimpassing an der Leitha,1724
10319,Wulkaprodersdorf,1938
10320,Loretto,520
10321,Stotzing,821
10322,Zillingtal,1045
10323,Zagersdorf,1142
10401,Bocksdorf,790
10402,Burgauberg-Neudauberg,1434
10403,Eberau,910
10404,Gerersdorf-Sulz,1028
10405,Güssing,3520
10406,Güttenbach,843
10407,Heiligenbrunn,710
10408,Kukmirn,1985
10409,Neuberg im Burgenland,943
10410,Neustift bei Güssing,444
10411,Olbendorf,1470
10412,Ollersdorf im Burgenland,955
10413,Sankt Michael im Burgenland,1007
10414,Stegersbach,2741
10415,Stinatz,1193
10416,Strem,934
10417,Tobaj,1369
10418,Hackerberg,383
10419,Wörterberg,538
10420,Großmürbisch,232
10421,Inzenhof,336
10422,Kleinmürbisch,227
10423,Tschanigraben,64
10424,Heugraben,233
10425,Rohr im Burgenland,369
10426,Bildein,352
10427,Rauchwart,478
10428,Moschendorf,364
10501,Deutsch Kaltenbrunn,1730
10502,Eltendorf,900
10503,Heiligenkreuz im Lafnitztal,1242
10504,Jennersdorf,4159
10505,Minihof-Liebau,1041
10506,Mogersdorf,1153
10507,Neuhaus am Klausenbach,879
10508,Rudersdorf,2241
10509,Sankt Martin an der Raab,1941
10510,Weichselbaum,712
10511,Königsdorf,784
10512,Mühlgraben,375
10601,Draßburg,1233
10602,Forchtenstein,2800
10603,Hirm,1103
10604,Loipersbach im Burgenland,1214
10605,Marz,2074
10606,Mattersburg,7554
10607,Neudörfl,5015
10608,Pöttelsdorf,754
10609,Pöttsching,3068
10610,Rohrbach bei Mattersburg,2684
10611,Bad Sauerbrunn,2355
10612,Schattendorf,2360
10613,Sieggraben,1253
10614,Sigleß,1183
10615,Wiesen,2792
10616,Antau,846
10617,Baumgarten,922
10618,Zemendorf-Stöttera,1320
10619,Krensdorf,624
10701,Andau,2266
10702,Apetlon,1749
10703,Bruckneudorf,3108
10704,Deutsch Jahrndorf,643
10705,Frauenkirchen,2963
10706,Gattendorf,1518
10707,Gols,3937
10708,Halbturn,1871
10709,Illmitz,2333
10710,Jois,1655
10711,Kittsee,3803
10712,Mönchhof,2191
10713,Neusiedl am See,8885
10714,Nickelsdorf,1843
10715,Pama,1284
10716,Pamhagen,1472
10717,Parndorf,5362
10718,Podersdorf am See,2146
10719,Sankt Andrä am Zicksee,1389
10720,Tadten,1142
